time,gFx,gFy,gFz,TgF
21:49:05:854,0.7764,-0.0811,0.6396,1.017
21:49:05:855,0.7774,-0.0784,0.6370,1.016
21:49:05:857,0.7740,-0.0770,0.6318,1.010
21:49:05:857,0.7664,-0.0767,0.6267,1.001
21:49:05:858,0.7573,-0.0774,0.6245,0.992
21:49:05:859,0.7471,-0.0779,0.6245,0.985
21:49:05:860,0.7376,-0.0789,0.6245,0.978
21:49:05:861,0.7283,-0.0801,0.6233,0.970
21:49:05:862,0.7229,-0.0823,0.6225,0.965
21:49:05:862,0.7197,-0.0850,0.6218,0.963
21:49:05:863,0.7146,-0.0875,0.6206,0.958
21:49:05:864,0.7104,-0.0901,0.6206,0.955
21:49:05:865,0.7082,-0.0928,0.6235,0.956
21:49:05:869,0.7048,-0.0943,0.6301,0.958
21:49:05:870,0.6999,-0.0953,0.6360,0.958
21:49:05:883,0.6973,-0.0958,0.6399,0.959
21:49:05:886,0.7019,-0.0958,0.6455,0.966
21:49:05:888,0.7122,-0.0963,0.6541,0.979
21:49:05:890,0.7200,-0.0938,0.6633,0.991
21:49:05:891,0.7187,-0.0894,0.6677,0.993
21:49:05:893,0.7219,-0.0894,0.6682,0.996
21:49:05:894,0.7322,-0.0914,0.6673,1.003
21:49:05:895,0.7407,-0.0909,0.6663,1.008
21:49:05:897,0.7483,-0.0906,0.6646,1.013
21:49:05:898,0.7566,-0.0901,0.6611,1.016
21:49:05:899,0.7615,-0.0884,0.6580,1.018
21:49:05:900,0.7657,-0.0875,0.6572,1.020
21:49:05:901,0.7696,-0.0860,0.6602,1.025
21:49:05:902,0.7730,-0.0850,0.6643,1.031
21:49:05:903,0.7786,-0.0870,0.6736,1.041
21:49:05:904,0.7881,-0.0931,0.6851,1.056
21:49:05:905,0.7938,-0.0980,0.6870,1.062
21:49:05:906,0.7869,-0.0972,0.6809,1.053
21:49:05:907,0.7693,-0.0926,0.6680,1.031
21:49:05:909,0.7622,-0.0921,0.6633,1.022
21:49:05:916,0.7637,-0.0958,0.6646,1.024
21:49:05:917,0.7666,-0.1014,0.6648,1.027
21:49:05:918,0.7671,-0.1043,0.6641,1.027
21:49:05:920,0.7647,-0.1107,0.6624,1.024
21:49:05:921,0.7627,-0.1168,0.6636,1.024
21:49:05:922,0.7620,-0.1214,0.6673,1.026
21:49:05:925,0.7610,-0.1251,0.6724,1.029
21:49:05:925,0.7654,-0.1287,0.6802,1.038
21:49:05:931,0.7703,-0.1314,0.6858,1.046
21:49:05:932,0.7691,-0.1327,0.6861,1.045
21:49:05:933,0.7671,-0.1319,0.6848,1.043
21:49:05:933,0.7688,-0.1305,0.6846,1.044
21:49:05:935,0.7698,-0.1287,0.6839,1.044
21:49:05:937,0.7696,-0.1268,0.6817,1.042
21:49:05:941,0.7727,-0.1244,0.6782,1.042
21:49:05:943,0.7776,-0.1217,0.6753,1.043
21:49:05:944,0.7810,-0.1187,0.6712,1.043
21:49:05:945,0.7847,-0.1148,0.6670,1.043
21:49:05:947,0.7916,-0.1112,0.6636,1.045
21:49:05:950,0.7986,-0.1087,0.6599,1.048
21:49:05:951,0.8030,-0.1070,0.6572,1.050
21:49:05:953,0.8033,-0.1051,0.6553,1.048
21:49:05:955,0.8023,-0.1033,0.6538,1.047
21:49:05:958,0.8016,-0.1016,0.6555,1.047
21:49:05:960,0.7979,-0.1002,0.6594,1.047
21:49:05:961,0.7933,-0.0997,0.6619,1.045
21:49:05:963,0.7889,-0.0992,0.6660,1.044
21:49:05:966,0.7825,-0.0972,0.6697,1.042
21:49:05:967,0.7762,-0.0955,0.6719,1.038
21:49:05:969,0.7723,-0.0953,0.6758,1.038
21:49:05:971,0.7701,-0.0958,0.6792,1.039
21:49:05:987,0.7683,-0.0953,0.6802,1.038
21:49:05:989,0.7657,-0.0943,0.6782,1.035
21:49:05:991,0.7649,-0.0936,0.6773,1.034
21:49:05:992,0.7693,-0.0926,0.6800,1.039
21:49:05:994,0.7732,-0.0921,0.6809,1.042
21:49:05:995,0.7745,-0.0916,0.6795,1.042
21:49:05:996,0.7774,-0.0906,0.6763,1.042
21:49:05:997,0.7803,-0.0904,0.6751,1.043
