time,gFx,gFy,gFz,TgF
22:06:57:445,0.8639,0.0017,0.5463,1.032
22:06:57:446,0.8644,0.0002,0.5478,1.033
22:06:57:446,0.8641,-0.0012,0.5483,1.033
22:06:57:447,0.8658,-0.0015,0.5495,1.035
22:06:57:448,0.8710,-0.0012,0.5519,1.041
22:06:57:448,0.8717,-0.0017,0.5515,1.041
22:06:57:449,0.8666,-0.0032,0.5468,1.034
22:06:57:450,0.8624,-0.0051,0.5434,1.029
22:06:57:450,0.8609,-0.0076,0.5441,1.028
22:06:57:454,0.8609,-0.0093,0.5473,1.029
22:06:57:455,0.8617,-0.0100,0.5512,1.032
22:06:57:457,0.8617,-0.0093,0.5534,1.033
22:06:57:459,0.8617,-0.0078,0.5532,1.033
22:06:57:467,0.8653,-0.0051,0.5576,1.039
22:06:57:468,0.8734,-0.0024,0.5686,1.052
22:06:57:469,0.8651,-0.0020,0.5632,1.042
22:06:57:470,0.8453,-0.0027,0.5412,1.013
22:06:57:471,0.8316,-0.0029,0.5236,0.992
22:06:57:472,0.8306,-0.0010,0.5180,0.988
22:06:57:474,0.8365,0.0015,0.5192,0.994
22:06:57:475,0.8392,0.0027,0.5207,0.997
22:06:57:476,0.8416,0.0046,0.5238,1.001
22:06:57:484,0.8407,0.0059,0.5273,1.002
22:06:57:485,0.8397,0.0076,0.5297,1.003
22:06:57:486,0.8414,0.0098,0.5319,1.006
22:06:57:486,0.8429,0.0112,0.5319,1.007
22:06:57:486,0.8433,0.0120,0.5302,1.006
22:06:57:490,0.8424,0.0129,0.5280,1.004
22:06:57:491,0.8407,0.0137,0.5268,1.002
22:06:57:492,0.8394,0.0132,0.5265,1.001
22:06:57:505,0.8387,0.0120,0.5268,1.001
22:06:57:507,0.8385,0.0098,0.5273,1.001
22:06:57:508,0.8397,0.0086,0.5275,1.002
22:06:57:509,0.8411,0.0078,0.5280,1.003
22:06:57:509,0.8424,0.0073,0.5290,1.005
22:06:57:510,0.8424,0.0059,0.5292,1.005
22:06:57:510,0.8431,0.0042,0.5300,1.006
22:06:57:511,0.8443,0.0039,0.5314,1.007
22:06:57:511,0.8455,0.0037,0.5326,1.009
22:06:57:512,0.8463,0.0034,0.5344,1.011
22:06:57:514,0.8465,0.0046,0.5358,1.012
22:06:57:516,0.8465,0.0059,0.5373,1.013
22:06:57:518,0.8458,0.0073,0.5378,1.012
22:06:57:520,0.8451,0.0086,0.5385,1.012
22:06:57:523,0.8460,0.0098,0.5390,1.013
22:06:57:528,0.8475,0.0105,0.5385,1.014
22:06:57:529,0.8487,0.0103,0.5380,1.015
22:06:57:530,0.8502,0.0105,0.5370,1.016
22:06:57:530,0.8509,0.0110,0.5353,1.015
22:06:57:532,0.8512,0.0122,0.5336,1.015
22:06:57:534,0.8509,0.0139,0.5317,1.014
22:06:57:536,0.8507,0.0161,0.5302,1.013
22:06:57:538,0.8504,0.0178,0.5287,1.012
22:06:57:540,0.8502,0.0181,0.5280,1.011
22:06:57:542,0.8499,0.0176,0.5270,1.011
22:06:57:544,0.8495,0.0171,0.5248,1.009
22:06:57:546,0.8497,0.0176,0.5234,1.008
22:06:57:548,0.8502,0.0176,0.5204,1.007
22:06:57:550,0.8507,0.0169,0.5192,1.007
22:06:57:552,0.8521,0.0169,0.5194,1.008
22:06:57:555,0.8541,0.0171,0.5207,1.011
22:06:57:558,0.8553,0.0181,0.5214,1.012
22:06:57:559,0.8565,0.0191,0.5221,1.014
22:06:57:560,0.8575,0.0203,0.5238,1.015
22:06:57:562,0.8563,0.0213,0.5258,1.016
22:06:57:564,0.8543,0.0220,0.5258,1.014
22:06:57:566,0.8524,0.0222,0.5251,1.012
22:06:57:568,0.8492,0.0230,0.5234,1.008
22:06:57:570,0.8468,0.0244,0.5204,1.005
22:06:57:575,0.8468,0.0252,0.5185,1.004
22:06:57:577,0.8490,0.0249,0.5187,1.006
22:06:57:578,0.8529,0.0242,0.5212,1.010
22:06:57:578,0.8573,0.0235,0.5236,1.015
22:06:57:580,0.8619,0.0213,0.5258,1.020
22:06:57:582,0.8651,0.0183,0.5265,1.023
22:06:57:583,0.8675,0.0149,0.5260,1.025
22:06:57:586,0.8685,0.0110,0.5263,1.025
22:06:57:588,0.8697,0.0076,0.5268,1.027
22:06:57:593,0.8702,0.0042,0.5275,1.027
22:06:57:594,0.8683,0.0012,0.5280,1.026
22:06:57:595,0.8651,-0.0002,0.5278,1.023
22:06:57:596,0.8634,-0.0020,0.5273,1.021
22:06:57:599,0.8602,-0.0042,0.5273,1.018
22:06:57:600,0.8563,-0.0068,0.5280,1.015
22:06:57:602,0.8531,-0.0086,0.5285,1.013
22:06:57:603,0.8502,-0.0090,0.5292,1.011
22:06:57:608,0.8477,-0.0100,0.5287,1.008
22:06:57:609,0.8468,-0.0107,0.5292,1.008
22:06:57:610,0.8473,-0.0107,0.5304,1.009
22:06:57:612,0.8473,-0.0100,0.5302,1.009
22:06:57:614,0.8468,-0.0098,0.5295,1.008
22:06:57:616,0.8458,-0.0093,0.5278,1.006
22:06:57:618,0.8455,-0.0081,0.5278,1.006
22:06:57:620,0.8453,-0.0066,0.5285,1.006
22:06:57:621,0.8460,-0.0039,0.5290,1.007
22:06:57:626,0.8468,-0.0022,0.5317,1.009
22:06:57:628,0.8475,-0.0022,0.5348,1.012
22:06:57:629,0.8482,-0.0007,0.5363,1.013
22:06:57:632,0.8482,0.0007,0.5366,1.013
22:06:57:633,0.8482,0.0024,0.5363,1.013
22:06:57:634,0.8499,0.0032,0.5353,1.014
