time,gFx,gFy,gFz,TgF
22:02:53:769,0.7930,0.0535,0.6660,1.051
22:02:53:771,0.7906,0.0503,0.6638,1.048
22:02:53:771,0.7889,0.0472,0.6621,1.045
22:02:53:772,0.7876,0.0447,0.6599,1.042
22:02:53:773,0.7864,0.0442,0.6585,1.040
22:02:53:774,0.7859,0.0457,0.6582,1.040
22:02:53:775,0.7837,0.0481,0.6597,1.040
22:02:53:776,0.7803,0.0506,0.6626,1.039
22:02:53:777,0.7774,0.0547,0.6663,1.040
22:02:53:777,0.7766,0.0603,0.6685,1.041
22:02:53:793,0.7759,0.0652,0.6658,1.039
22:02:53:795,0.7740,0.0696,0.6587,1.034
22:02:53:797,0.7703,0.0740,0.6506,1.026
22:02:53:798,0.7617,0.0779,0.6428,1.015
22:02:53:799,0.7530,0.0811,0.6387,1.006
22:02:53:800,0.7532,0.0845,0.6389,1.007
22:02:53:800,0.7564,0.0884,0.6353,1.008
22:02:53:801,0.7571,0.0928,0.6274,1.004
22:02:53:802,0.7532,0.0967,0.6211,0.997
22:02:53:802,0.7476,0.1002,0.6174,0.991
22:02:53:803,0.7410,0.1026,0.6157,0.986
22:02:53:804,0.7359,0.1043,0.6147,0.981
22:02:53:805,0.7337,0.1051,0.6150,0.980
22:02:53:806,0.7349,0.1053,0.6167,0.982
22:02:53:806,0.7390,0.1046,0.6181,0.986
22:02:53:807,0.7454,0.1033,0.6203,0.992
22:02:53:809,0.7520,0.1011,0.6230,0.998
22:02:53:817,0.7586,0.0999,0.6267,1.005
22:02:53:818,0.7632,0.0994,0.6304,1.011
22:02:53:820,0.7661,0.0989,0.6338,1.016
22:02:53:821,0.7676,0.0989,0.6348,1.017
22:02:53:822,0.7698,0.0992,0.6370,1.020
22:02:53:823,0.7703,0.0992,0.6387,1.022
22:02:53:823,0.7644,0.0985,0.6414,1.019
22:02:53:831,0.7625,0.0980,0.6497,1.023
22:02:53:832,0.7703,0.0985,0.6560,1.033
22:02:53:833,0.7776,0.0975,0.6521,1.036
22:02:53:834,0.7818,0.0972,0.6475,1.036
22:02:53:835,0.7832,0.0977,0.6467,1.037
22:02:53:835,0.7830,0.0977,0.6484,1.038
22:02:53:837,0.7823,0.0965,0.6538,1.040
22:02:53:845,0.7798,0.0938,0.6592,1.042
22:02:53:847,0.7762,0.0911,0.6611,1.040
22:02:53:848,0.7730,0.0889,0.6611,1.037
22:02:53:849,0.7715,0.0860,0.6611,1.036
22:02:53:862,0.7703,0.0828,0.6611,1.034
22:02:53:863,0.7701,0.0799,0.6614,1.034
22:02:53:865,0.7705,0.0772,0.6653,1.036
22:02:53:865,0.7683,0.0748,0.6668,1.036
22:02:53:866,0.7642,0.0733,0.6611,1.029
22:02:53:867,0.7613,0.0713,0.6533,1.021
22:02:53:868,0.7603,0.0701,0.6480,1.017
22:02:53:868,0.7615,0.0701,0.6445,1.015
22:02:53:869,0.7625,0.0704,0.6416,1.014
22:02:53:870,0.7617,0.0711,0.6396,1.012
22:02:53:870,0.7600,0.0726,0.6384,1.010
22:02:53:871,0.7586,0.0745,0.6382,1.009
22:02:53:872,0.7593,0.0767,0.6406,1.012
22:02:53:873,0.7598,0.0789,0.6450,1.015
22:02:53:875,0.7581,0.0809,0.6494,1.017
22:02:53:889,0.7552,0.0833,0.6509,1.016
22:02:53:890,0.7520,0.0865,0.6504,1.014
22:02:53:891,0.7505,0.0906,0.6502,1.013
22:02:53:892,0.7498,0.0933,0.6472,1.011
