time,gFx,gFy,gFz,TgF
22:05:07:205,0.7410,0.0660,0.7122,1.046
22:05:07:207,0.7405,0.0640,0.7059,1.041
22:05:07:208,0.7395,0.0621,0.7010,1.036
22:05:07:209,0.7390,0.0608,0.6968,1.033
22:05:07:209,0.7388,0.0603,0.6932,1.030
22:05:07:210,0.7383,0.0591,0.6910,1.028
22:05:07:211,0.7378,0.0574,0.6917,1.028
22:05:07:213,0.7368,0.0579,0.6949,1.030
22:05:07:214,0.7361,0.0599,0.6973,1.031
22:05:07:215,0.7363,0.0618,0.6985,1.032
22:05:07:215,0.7354,0.0635,0.6990,1.032
22:05:07:216,0.7339,0.0657,0.6968,1.030
22:05:07:217,0.7337,0.0682,0.6927,1.027
22:05:07:218,0.7346,0.0704,0.6890,1.025
22:05:07:218,0.7356,0.0726,0.6836,1.023
22:05:07:227,0.7366,0.0733,0.6778,1.020
22:05:07:229,0.7368,0.0745,0.6726,1.016
22:05:07:229,0.7373,0.0760,0.6682,1.014
22:05:07:230,0.7373,0.0774,0.6655,1.012
22:05:07:231,0.7363,0.0792,0.6648,1.011
22:05:07:232,0.7354,0.0804,0.6653,1.011
22:05:07:232,0.7351,0.0818,0.6663,1.012
22:05:07:240,0.7354,0.0826,0.6660,1.012
22:05:07:241,0.7356,0.0840,0.6648,1.011
22:05:07:242,0.7363,0.0845,0.6619,1.010
22:05:07:243,0.7363,0.0850,0.6589,1.008
22:05:07:243,0.7356,0.0855,0.6570,1.006
22:05:07:244,0.7341,0.0855,0.6563,1.005
22:05:07:264,0.7337,0.0860,0.6575,1.005
22:05:07:266,0.7332,0.0867,0.6597,1.006
22:05:07:266,0.7327,0.0875,0.6624,1.008
22:05:07:267,0.7337,0.0887,0.6663,1.012
22:05:07:268,0.7359,0.0889,0.6702,1.016
22:05:07:269,0.7376,0.0894,0.6721,1.018
22:05:07:270,0.7388,0.0904,0.6739,1.021
22:05:07:270,0.7400,0.0919,0.6756,1.023
22:05:07:271,0.7400,0.0936,0.6866,1.031
22:05:07:272,0.7378,0.0975,0.7142,1.049
22:05:07:273,0.7239,0.1129,0.8207,1.119
22:05:07:274,0.7046,0.1224,0.8651,1.142
22:05:07:274,0.7009,0.1138,0.7872,1.079
22:05:07:275,0.7087,0.0967,0.6773,1.002
22:05:07:276,0.7178,0.0816,0.6023,0.956
22:05:07:276,0.7305,0.0718,0.5700,0.944
22:05:07:279,0.7459,0.0655,0.5649,0.952
22:05:07:280,0.7591,0.0613,0.5690,0.965
22:05:07:294,0.7674,0.0589,0.5722,0.973
22:05:07:296,0.7696,0.0574,0.5764,0.977
22:05:07:297,0.7679,0.0569,0.5852,0.981
22:05:07:298,0.7632,0.0567,0.6010,0.987
22:05:07:299,0.7576,0.0567,0.6216,0.996
22:05:07:300,0.7515,0.0577,0.6423,1.005
22:05:07:301,0.7454,0.0589,0.6594,1.012
22:05:07:301,0.7400,0.0596,0.6731,1.017
22:05:07:302,0.7361,0.0603,0.6804,1.020
22:05:07:303,0.7339,0.0601,0.6814,1.019
22:05:07:304,0.7344,0.0586,0.6792,1.017
22:05:07:304,0.7366,0.0569,0.6768,1.017
22:05:07:310,0.7393,0.0550,0.6758,1.018
22:05:07:312,0.7412,0.0533,0.6751,1.019
22:05:07:314,0.7424,0.0528,0.6760,1.020
22:05:07:315,0.7437,0.0528,0.6780,1.023
22:05:07:317,0.7442,0.0535,0.6797,1.024
22:05:07:318,0.7442,0.0540,0.6802,1.025
22:05:07:318,0.7449,0.0540,0.6809,1.026
22:05:07:327,0.7449,0.0542,0.6822,1.026
22:05:07:329,0.7444,0.0545,0.6831,1.027
22:05:07:330,0.7449,0.0545,0.6826,1.027
22:05:07:331,0.7456,0.0555,0.6814,1.027
22:05:07:332,0.7466,0.0579,0.6807,1.027
22:05:07:333,0.7473,0.0606,0.6809,1.028
22:05:07:334,0.7488,0.0635,0.6809,1.029
22:05:07:335,0.7503,0.0669,0.6800,1.030
22:05:07:337,0.7512,0.0704,0.6782,1.030
22:05:07:338,0.7515,0.0740,0.6765,1.030
22:05:07:345,0.7515,0.0762,0.6758,1.029
22:05:07:346,0.7520,0.0796,0.6751,1.030
22:05:07:348,0.7515,0.0833,0.6753,1.030
22:05:07:349,0.7508,0.0865,0.6751,1.030
22:05:07:350,0.7500,0.0889,0.6743,1.029
22:05:07:351,0.7488,0.0909,0.6731,1.027
22:05:07:352,0.7478,0.0928,0.6719,1.026
22:05:07:355,0.7473,0.0941,0.6717,1.026
22:05:07:356,0.7461,0.0943,0.6712,1.025
22:05:07:358,0.7444,0.0958,0.6692,1.022
22:05:07:360,0.7424,0.0975,0.6663,1.019
22:05:07:378,0.7412,0.0985,0.6631,1.016
22:05:07:379,0.7393,0.0989,0.6607,1.013
22:05:07:380,0.7366,0.0994,0.6585,1.010
22:05:07:381,0.7337,0.1009,0.6553,1.006
22:05:07:382,0.7312,0.1019,0.6526,1.002
22:05:07:382,0.7283,0.1014,0.6511,0.999
22:05:07:383,0.7249,0.1004,0.6502,0.996
22:05:07:384,0.7217,0.0994,0.6499,0.993
22:05:07:385,0.7190,0.0982,0.6494,0.991
22:05:07:385,0.7173,0.0970,0.6492,0.989
22:05:07:386,0.7146,0.0950,0.6489,0.987
22:05:07:387,0.7114,0.0931,0.6484,0.984
22:05:07:387,0.7102,0.0906,0.6492,0.983
22:05:07:388,0.7107,0.0880,0.6502,0.984
22:05:07:391,0.7114,0.0855,0.6524,0.986
22:05:07:392,0.7119,0.0838,0.6553,0.988
22:05:07:408,0.7117,0.0826,0.6582,0.989
22:05:07:409,0.7112,0.0816,0.6619,0.991
22:05:07:410,0.7109,0.0811,0.6653,0.994
22:05:07:411,0.7119,0.0811,0.6682,0.996
22:05:07:411,0.7131,0.0804,0.6707,0.999
22:05:07:412,0.7158,0.0792,0.6724,1.002
22:05:07:413,0.7202,0.0779,0.6731,1.005
22:05:07:414,0.7253,0.0770,0.6751,1.010
22:05:07:415,0.7305,0.0755,0.6765,1.015
22:05:07:416,0.7332,0.0743,0.6770,1.017
22:05:07:417,0.7380,0.0721,0.6780,1.021
22:05:07:418,0.7429,0.0704,0.6782,1.024
22:05:07:419,0.7471,0.0699,0.6785,1.027
22:05:07:420,0.7505,0.0701,0.6787,1.030
22:05:07:423,0.7517,0.0701,0.6809,1.032
22:05:07:424,0.7527,0.0711,0.6826,1.034
22:05:07:426,0.7534,0.0718,0.6829,1.035
22:05:07:431,0.7549,0.0716,0.6824,1.036
22:05:07:432,0.7554,0.0711,0.6829,1.036
