time,gFx,gFy,gFz,TgF
21:06:54:054,0.9762,-0.0704,0.3062,1.027
21:06:54:055,0.9728,-0.0696,0.2981,1.022
21:06:54:056,0.9699,-0.0647,0.2893,1.016
21:06:54:057,0.9660,-0.0572,0.2832,1.010
21:06:54:058,0.9611,-0.0496,0.2800,1.005
21:06:54:059,0.9562,-0.0418,0.2791,1.000
21:06:54:061,0.9513,-0.0342,0.2788,0.995
21:06:54:062,0.9474,-0.0283,0.2791,0.992
21:06:54:063,0.9452,-0.0242,0.2810,0.990
21:06:54:064,0.9440,-0.0232,0.2834,0.990
21:06:54:066,0.9455,-0.0247,0.2866,0.992
21:06:54:067,0.9469,-0.0281,0.2893,0.994
21:06:54:068,0.9491,-0.0322,0.2920,0.997
21:06:54:070,0.9526,-0.0369,0.2944,1.001
21:06:54:071,0.9550,-0.0410,0.2954,1.004
21:06:54:072,0.9562,-0.0432,0.2942,1.004
21:06:54:073,0.9562,-0.0442,0.2918,1.004
21:06:54:074,0.9552,-0.0447,0.2883,1.002
21:06:54:075,0.9533,-0.0445,0.2842,0.998
21:06:54:076,0.9506,-0.0430,0.2798,0.995
21:06:54:077,0.9494,-0.0425,0.2776,0.993
21:06:54:078,0.9472,-0.0415,0.2744,0.990
21:06:54:079,0.9457,-0.0406,0.2707,0.987
21:06:54:080,0.9460,-0.0410,0.2676,0.987
21:06:54:081,0.9474,-0.0418,0.2676,0.988
21:06:54:119,0.9499,-0.0428,0.2690,0.991
21:06:54:120,0.9521,-0.0450,0.2712,0.993
21:06:54:121,0.9550,-0.0484,0.2732,0.997
21:06:54:122,0.9577,-0.0513,0.2742,1.000
21:06:54:123,0.9604,-0.0523,0.2749,1.002
21:06:54:124,0.9626,-0.0535,0.2747,1.005
21:06:54:124,0.9640,-0.0542,0.2734,1.006
21:06:54:125,0.9648,-0.0547,0.2725,1.006
21:06:54:126,0.9653,-0.0555,0.2742,1.007
21:06:54:127,0.9643,-0.0594,0.2861,1.010
21:06:54:129,0.9648,-0.0638,0.2942,1.013
21:06:54:130,0.9714,-0.0621,0.2844,1.016
21:06:54:132,0.9787,-0.0567,0.2722,1.019
21:06:54:133,0.9819,-0.0520,0.2661,1.021
21:06:54:135,0.9819,-0.0486,0.2649,1.020
21:06:54:137,0.9811,-0.0464,0.2671,1.020
21:06:54:138,0.9804,-0.0432,0.2688,1.020
21:06:54:138,0.9804,-0.0401,0.2700,1.020
21:06:54:139,0.9797,-0.0374,0.2712,1.020
21:06:54:140,0.9770,-0.0342,0.2712,1.017
21:06:54:141,0.9745,-0.0305,0.2690,1.015
21:06:54:142,0.9728,-0.0281,0.2644,1.012
21:06:54:143,0.9714,-0.0266,0.2583,1.009
21:06:54:143,0.9697,-0.0259,0.2536,1.006
21:06:54:144,0.9682,-0.0266,0.2514,1.004
21:06:54:145,0.9684,-0.0274,0.2505,1.004
21:06:54:145,0.9694,-0.0293,0.2497,1.004
21:06:54:146,0.9699,-0.0315,0.2485,1.004
