time,gFx,gFy,gFz,TgF
21:15:28:748,0.8629,-0.0836,0.4904,1.001
21:15:28:749,0.8602,-0.0836,0.4955,1.001
21:15:28:751,0.8592,-0.0831,0.4984,1.002
21:15:28:752,0.8578,-0.0818,0.5014,1.002
21:15:28:752,0.8558,-0.0792,0.5050,1.002
21:15:28:753,0.8553,-0.0757,0.5089,1.004
21:15:28:754,0.8543,-0.0716,0.5111,1.004
21:15:28:755,0.8529,-0.0669,0.5129,1.003
21:15:28:756,0.8541,-0.0594,0.5155,1.006
21:15:28:757,0.8585,-0.0493,0.5177,1.011
21:15:28:758,0.8641,-0.0393,0.5204,1.017
21:15:28:758,0.8724,-0.0303,0.5221,1.025
21:15:28:762,0.8832,-0.0220,0.5216,1.034
21:15:28:764,0.8907,-0.0132,0.5229,1.041
21:15:28:766,0.8905,-0.0046,0.5282,1.044
21:15:28:766,0.8856,0.0022,0.5351,1.044
21:15:28:777,0.8805,0.0068,0.5412,1.043
21:15:28:779,0.8788,0.0098,0.5449,1.044
21:15:28:780,0.8822,0.0110,0.5456,1.047
21:15:28:781,0.8888,0.0105,0.5444,1.052
21:15:28:783,0.8956,0.0095,0.5431,1.057
21:15:28:784,0.9015,0.0086,0.5402,1.061
21:15:28:785,0.9061,0.0076,0.5346,1.062
21:15:28:786,0.9091,0.0056,0.5253,1.059
21:15:28:786,0.9113,0.0032,0.5121,1.054
21:15:28:787,0.9115,0.0027,0.4980,1.047
21:15:28:793,0.9098,0.0042,0.4828,1.039
21:15:28:794,0.9069,0.0073,0.4669,1.029
21:15:28:795,0.9015,0.0103,0.4501,1.016
21:15:28:797,0.8951,0.0117,0.4339,1.003
21:15:28:798,0.8898,0.0127,0.4195,0.992
21:15:28:799,0.8876,0.0129,0.4137,0.987
21:15:28:802,0.8844,0.0125,0.4036,0.980
21:15:28:804,0.8844,0.0086,0.3953,0.976
21:15:28:805,0.8859,0.0027,0.3868,0.974
21:15:28:806,0.9003,-0.0139,0.3817,0.984
21:15:28:808,0.9491,-0.0608,0.3809,1.028
21:15:28:810,0.9606,-0.0855,0.3753,1.037
21:15:28:812,0.9313,-0.0750,0.3712,1.008
21:15:28:817,0.9054,-0.0557,0.3753,0.986
21:15:28:818,0.8973,-0.0406,0.3902,0.984
21:15:28:820,0.8978,-0.0313,0.4105,0.994
21:15:28:821,0.8956,-0.0225,0.4259,0.999
21:15:28:822,0.8910,-0.0159,0.4393,1.001
21:15:28:828,0.8844,-0.0120,0.4486,0.999
21:15:28:829,0.8763,-0.0103,0.4488,0.992
21:15:28:830,0.8695,-0.0107,0.4447,0.984
21:15:28:831,0.8636,-0.0110,0.4391,0.976
21:15:28:832,0.8587,-0.0107,0.4347,0.970
21:15:28:838,0.8553,-0.0093,0.4325,0.966
21:15:28:839,0.8521,-0.0066,0.4337,0.964
21:15:28:839,0.8507,-0.0046,0.4366,0.964
21:15:28:840,0.8492,-0.0027,0.4371,0.963
21:15:28:842,0.8480,-0.0017,0.4381,0.963
21:15:28:844,0.8480,-0.0017,0.4398,0.963
21:15:28:846,0.8495,-0.0022,0.4396,0.965
21:15:28:849,0.8519,-0.0029,0.4388,0.966
21:15:28:850,0.8531,-0.0032,0.4352,0.966
21:15:28:851,0.8551,-0.0044,0.4310,0.965
21:15:28:854,0.8592,-0.0059,0.4286,0.968
21:15:28:855,0.8617,-0.0073,0.4251,0.968
21:15:28:858,0.8653,-0.0093,0.4215,0.970
21:15:28:859,0.8702,-0.0110,0.4178,0.973
21:15:28:861,0.8727,-0.0117,0.4120,0.972
21:15:28:865,0.8749,-0.0115,0.4051,0.971
21:15:28:866,0.8800,-0.0110,0.3995,0.973
21:15:28:868,0.8841,-0.0112,0.3975,0.976
21:15:28:870,0.8932,-0.0125,0.3951,0.983
21:15:28:871,0.9027,-0.0134,0.3951,0.992
21:15:28:873,0.9115,-0.0125,0.3966,1.001
21:15:28:876,0.9152,-0.0105,0.3983,1.005
21:15:28:878,0.9147,-0.0078,0.4017,1.006
21:15:28:880,0.9135,-0.0044,0.4051,1.006
21:15:28:882,0.9125,-0.0010,0.4088,1.007
21:15:28:884,0.9113,0.0015,0.4127,1.008
21:15:28:886,0.9122,0.0037,0.4161,1.010
21:15:28:887,0.9154,0.0046,0.4210,1.015
21:15:28:890,0.9169,0.0049,0.4251,1.018
21:15:28:892,0.9169,0.0056,0.4271,1.019
21:15:28:894,0.9169,0.0064,0.4273,1.019
21:15:28:895,0.9176,0.0059,0.4269,1.020
21:15:28:898,0.9183,0.0039,0.4278,1.021
21:15:28:900,0.9188,0.0029,0.4291,1.022
21:15:28:901,0.9157,0.0017,0.4256,1.017
21:15:28:904,0.9103,-0.0007,0.4193,1.010
21:15:28:905,0.9061,-0.0029,0.4137,1.003
21:15:28:907,0.9017,-0.0059,0.4105,0.998
21:15:28:909,0.8971,-0.0093,0.4100,0.993
21:15:28:911,0.8954,-0.0134,0.4102,0.992
21:15:28:917,0.8932,-0.0171,0.4093,0.989
21:15:28:918,0.8878,-0.0198,0.4088,0.984
21:15:28:919,0.8846,-0.0222,0.4093,0.981
21:15:28:920,0.8849,-0.0252,0.4124,0.983
21:15:28:922,0.8854,-0.0279,0.4173,0.985
21:15:28:923,0.8861,-0.0293,0.4220,0.988
21:15:28:926,0.8883,-0.0308,0.4271,0.992
21:15:28:927,0.8903,-0.0322,0.4330,0.997
21:15:28:929,0.8912,-0.0327,0.4354,0.999
21:15:28:933,0.8915,-0.0335,0.4383,1.000
21:15:28:935,0.8912,-0.0342,0.4401,1.001
21:15:28:938,0.8920,-0.0349,0.4410,1.002
21:15:28:939,0.8929,-0.0347,0.4430,1.004
21:15:28:939,0.8939,-0.0344,0.4449,1.005
21:15:28:941,0.8954,-0.0340,0.4452,1.007
21:15:28:944,0.8964,-0.0337,0.4430,1.007
21:15:28:945,0.8946,-0.0327,0.4391,1.003
21:15:28:948,0.8922,-0.0315,0.4352,0.999
21:15:28:950,0.8903,-0.0303,0.4317,0.996
21:15:28:952,0.8893,-0.0298,0.4281,0.994
21:15:28:954,0.8898,-0.0296,0.4244,0.992
21:15:28:956,0.8917,-0.0293,0.4210,0.993
21:15:28:957,0.8944,-0.0296,0.4186,0.994
21:15:28:959,0.8968,-0.0293,0.4161,0.995
21:15:28:961,0.8990,-0.0293,0.4132,0.996
21:15:28:963,0.9022,-0.0288,0.4100,0.997
21:15:28:966,0.9044,-0.0288,0.4076,0.998
21:15:28:967,0.9049,-0.0283,0.4061,0.998
21:15:28:970,0.9047,-0.0274,0.4049,0.997
21:15:28:971,0.9044,-0.0259,0.4044,0.997
21:15:28:973,0.9049,-0.0247,0.4032,0.997
21:15:28:975,0.9052,-0.0230,0.4032,0.997
21:15:28:977,0.9052,-0.0203,0.4032,0.997
21:15:28:979,0.9054,-0.0166,0.4044,0.998
21:15:28:983,0.9054,-0.0125,0.4076,1.000
21:15:28:984,0.9052,-0.0088,0.4112,1.001
21:15:28:987,0.9059,-0.0054,0.4156,1.004
21:15:28:988,0.9069,-0.0027,0.4193,1.006
