time,gFx,gFy,gFz,TgF
22:09:46:869,0.6955,0.0625,0.9800,1.221
22:09:46:871,0.6029,0.0792,0.8568,1.069
22:09:46:872,0.5949,0.0865,0.7713,0.997
22:09:46:873,0.6208,0.0892,0.7173,0.971
22:09:46:874,0.6320,0.0909,0.6817,0.952
22:09:46:875,0.6340,0.0943,0.6538,0.934
22:09:46:876,0.6381,0.0992,0.6269,0.918
22:09:46:877,0.6513,0.1038,0.6091,0.916
22:09:46:878,0.6826,0.1033,0.5932,0.928
22:09:46:879,0.7241,0.0987,0.5725,0.945
22:09:46:881,0.7522,0.1026,0.5568,0.958
22:09:46:882,0.7659,0.1102,0.5417,0.961
22:09:46:883,0.7708,0.1153,0.5263,0.957
22:09:46:884,0.7703,0.1185,0.5155,0.951
22:09:46:885,0.7635,0.1192,0.5043,0.939
22:09:46:892,0.7588,0.1126,0.4950,0.929
22:09:46:893,0.7617,0.1026,0.4975,0.931
22:09:46:894,0.7661,0.0931,0.5175,0.944
22:09:46:895,0.7661,0.0850,0.5453,0.959
22:09:46:896,0.7625,0.0796,0.5678,0.969
22:09:46:898,0.7571,0.0757,0.5808,0.972
22:09:46:899,0.7539,0.0726,0.5901,0.975
22:09:46:911,0.7488,0.0696,0.5964,0.975
22:09:46:913,0.7422,0.0657,0.6037,0.974
22:09:46:915,0.7424,0.0611,0.6177,0.982
22:09:46:916,0.7464,0.0577,0.6348,0.996
22:09:46:919,0.7439,0.0552,0.6487,1.003
22:09:46:921,0.7412,0.0537,0.6546,1.005
22:09:46:922,0.7356,0.0503,0.6648,1.007
22:09:46:924,0.7322,0.0467,0.6751,1.012
22:09:46:926,0.7315,0.0423,0.6870,1.019
22:09:46:927,0.7329,0.0391,0.6958,1.026
22:09:46:929,0.7368,0.0371,0.6983,1.030
22:09:46:930,0.7402,0.0379,0.6975,1.032
22:09:46:931,0.7417,0.0393,0.6971,1.033
22:09:46:933,0.7434,0.0410,0.6973,1.035
22:09:46:934,0.7454,0.0425,0.6971,1.036
22:09:46:935,0.7559,0.0381,0.6971,1.043
22:09:46:936,0.7762,0.0257,0.6971,1.057
22:09:46:937,0.7828,0.0261,0.6973,1.062
22:09:46:938,0.7815,0.0347,0.6932,1.059
22:09:46:939,0.7771,0.0437,0.6873,1.052
22:09:46:941,0.7710,0.0515,0.6824,1.045
22:09:46:948,0.7681,0.0601,0.6780,1.041
22:09:46:949,0.7732,0.0723,0.6770,1.046
22:09:46:951,0.7874,0.0848,0.6739,1.056
22:09:46:951,0.7977,0.0953,0.6587,1.055
22:09:46:952,0.8001,0.1082,0.6367,1.045
22:09:46:953,0.8008,0.1195,0.6118,1.031
22:09:46:963,0.7969,0.1280,0.5861,1.014
22:09:46:964,0.7867,0.1378,0.5627,0.994
22:09:46:964,0.7788,0.1466,0.5427,0.978
22:09:46:965,0.7781,0.1500,0.5258,0.969
22:09:46:965,0.7766,0.1502,0.5119,0.960
22:09:46:967,0.7730,0.1515,0.4989,0.950
22:09:46:968,0.7713,0.1510,0.4879,0.943
22:09:46:969,0.7740,0.1473,0.4794,0.939
22:09:46:971,0.7779,0.1415,0.4733,0.938
22:09:46:973,0.7828,0.1331,0.4691,0.938
22:09:46:975,0.7859,0.1258,0.4677,0.939
22:09:46:977,0.7825,0.1209,0.4677,0.935
