time,gFx,gFy,gFz,TgF
22:10:37:458,0.8707,-0.0430,0.4791,1.001
22:10:37:459,0.8722,-0.0415,0.4767,1.001
22:10:37:460,0.8739,-0.0401,0.4747,1.002
22:10:37:461,0.8749,-0.0391,0.4735,1.002
22:10:37:463,0.8756,-0.0376,0.4723,1.002
22:10:37:469,0.8758,-0.0362,0.4728,1.003
22:10:37:470,0.8753,-0.0349,0.4738,1.003
22:10:37:470,0.8749,-0.0342,0.4750,1.003
22:10:37:471,0.8758,-0.0335,0.4774,1.005
22:10:37:473,0.8790,-0.0337,0.4811,1.010
22:10:37:475,0.8822,-0.0344,0.4850,1.014
22:10:37:477,0.8846,-0.0357,0.4879,1.018
22:10:37:479,0.8863,-0.0376,0.4901,1.020
22:10:37:481,0.8873,-0.0413,0.4923,1.022
22:10:37:483,0.8863,-0.0440,0.4945,1.023
22:10:37:485,0.8824,-0.0450,0.4948,1.019
22:10:37:487,0.8802,-0.0464,0.4953,1.018
22:10:37:489,0.8793,-0.0474,0.4977,1.018
22:10:37:491,0.8778,-0.0486,0.5014,1.019
22:10:37:494,0.8763,-0.0481,0.5050,1.019
22:10:37:495,0.8746,-0.0474,0.5085,1.020
22:10:37:497,0.8724,-0.0464,0.5097,1.018
22:10:37:499,0.8705,-0.0445,0.5085,1.016
22:10:37:502,0.8697,-0.0428,0.5050,1.014
22:10:37:503,0.8707,-0.0413,0.5009,1.012
22:10:37:506,0.8712,-0.0410,0.4987,1.012
22:10:37:507,0.8734,-0.0403,0.4931,1.011
22:10:37:509,0.8761,-0.0393,0.4870,1.010
22:10:37:511,0.8780,-0.0391,0.4828,1.010
22:10:37:513,0.8802,-0.0386,0.4799,1.010
22:10:37:516,0.8819,-0.0379,0.4774,1.010
22:10:37:517,0.8822,-0.0364,0.4760,1.010
22:10:37:519,0.8824,-0.0354,0.4767,1.010
22:10:37:522,0.8824,-0.0362,0.4794,1.012
22:10:37:525,0.8829,-0.0366,0.4828,1.014
22:10:37:526,0.8841,-0.0376,0.4877,1.017
22:10:37:527,0.8859,-0.0396,0.4928,1.021
22:10:37:530,0.8873,-0.0418,0.4975,1.025
22:10:37:531,0.8881,-0.0432,0.4994,1.026
