time,gFx,gFy,gFz,TgF
21:09:43:901,0.9863,0.0200,0.1735,1.005
21:09:43:902,0.9841,0.0186,0.1701,1.003
21:09:43:903,0.9833,0.0166,0.1645,1.001
21:09:43:904,0.9841,0.0151,0.1579,1.000
21:09:43:905,0.9846,0.0151,0.1527,1.000
21:09:43:906,0.9833,0.0169,0.1471,0.998
21:09:43:907,0.9814,0.0195,0.1415,0.995
21:09:43:907,0.9804,0.0205,0.1391,0.994
21:09:43:908,0.9797,0.0220,0.1361,0.993
21:09:43:914,0.9826,0.0227,0.1361,0.996
21:09:43:916,0.9875,0.0227,0.1378,1.001
21:09:43:917,0.9916,0.0222,0.1391,1.005
21:09:43:918,0.9948,0.0215,0.1376,1.008
21:09:43:918,0.9960,0.0208,0.1339,1.008
21:09:43:919,0.9960,0.0200,0.1310,1.008
21:09:43:941,0.9953,0.0198,0.1281,1.007
21:09:43:943,0.9948,0.0213,0.1256,1.006
21:09:43:944,0.9943,0.0232,0.1244,1.005
21:09:43:945,0.9931,0.0244,0.1239,1.004
21:09:43:945,0.9921,0.0254,0.1232,1.003
21:09:43:946,0.9924,0.0264,0.1225,1.003
21:09:43:947,0.9929,0.0269,0.1222,1.004
21:09:43:947,0.9929,0.0279,0.1215,1.004
21:09:43:948,0.9936,0.0281,0.1205,1.004
21:09:43:948,0.9946,0.0279,0.1203,1.005
21:09:43:949,0.9960,0.0279,0.1210,1.007
21:09:43:950,0.9973,0.0276,0.1229,1.008
21:09:43:950,0.9982,0.0266,0.1244,1.010
21:09:43:951,0.9990,0.0254,0.1249,1.010
21:09:43:952,1.0002,0.0249,0.1254,1.011
21:09:43:953,1.0012,0.0247,0.1271,1.013
21:09:43:954,1.0014,0.0242,0.1288,1.013
21:09:43:961,1.0024,0.0232,0.1290,1.014
21:09:43:963,1.0031,0.0220,0.1290,1.015
21:09:43:964,1.0034,0.0213,0.1286,1.015
21:09:43:964,1.0031,0.0200,0.1283,1.014
21:09:43:965,1.0029,0.0183,0.1293,1.014
21:09:43:965,1.0029,0.0171,0.1325,1.015
21:09:43:967,1.0021,0.0156,0.1356,1.014
21:09:43:969,1.0009,0.0134,0.1378,1.013
21:09:43:977,0.9997,0.0122,0.1393,1.012
21:09:43:978,0.9990,0.0103,0.1410,1.012
21:09:43:978,0.9990,0.0086,0.1415,1.012
21:09:43:979,0.9987,0.0076,0.1393,1.011
21:09:43:979,0.9970,0.0088,0.1325,1.008
