time,gFx,gFy,gFz,TgF
21:33:04:892,0.8885,0.1053,0.4659,1.022
21:33:04:894,0.8861,0.1058,0.4637,1.019
21:33:04:895,0.8854,0.1060,0.4645,1.019
21:33:04:896,0.8812,0.1068,0.4686,1.017
21:33:04:897,0.8780,0.1063,0.4921,1.026
21:33:04:897,0.8927,0.0972,0.5817,1.084
21:33:04:898,0.9091,0.0870,0.6709,1.147
21:33:04:899,0.9120,0.0845,0.6866,1.159
21:33:04:900,0.9032,0.0880,0.6414,1.125
21:33:04:901,0.8929,0.0911,0.5905,1.088
21:33:04:902,0.8841,0.0945,0.5483,1.058
21:33:04:905,0.8578,0.1048,0.5036,1.014
21:33:04:907,0.8265,0.1156,0.4716,0.973
21:33:04:908,0.8057,0.1234,0.4554,0.949
21:33:04:910,0.7933,0.1300,0.4383,0.931
21:33:04:912,0.7903,0.1339,0.4220,0.921
21:33:04:913,0.7908,0.1351,0.4061,0.915
21:33:04:915,0.7913,0.1344,0.3856,0.906
21:33:04:917,0.7967,0.1334,0.3604,0.899
21:33:04:920,0.8047,0.1324,0.3370,0.897
21:33:04:930,0.8104,0.1322,0.3186,0.895
21:33:04:932,0.8157,0.1322,0.3079,0.895
21:33:04:932,0.8228,0.1317,0.3047,0.901
21:33:04:933,0.8328,0.1314,0.3086,0.911
21:33:04:933,0.8453,0.1302,0.3203,0.926
21:33:04:934,0.8590,0.1287,0.3384,0.945
21:33:04:935,0.8707,0.1258,0.3607,0.964
21:33:04:935,0.8795,0.1224,0.3848,0.981
21:33:04:944,0.8849,0.1187,0.4078,0.995
21:33:04:945,0.8910,0.1148,0.4303,1.009
21:33:04:946,0.8971,0.1114,0.4508,1.023
21:33:04:946,0.9034,0.1075,0.4701,1.037
21:33:04:947,0.9118,0.1031,0.4865,1.052
21:33:04:947,0.9176,0.0992,0.4992,1.062
21:33:04:950,0.9188,0.0972,0.5036,1.065
21:33:04:951,0.9176,0.0936,0.5089,1.066
21:33:04:954,0.9139,0.0897,0.5092,1.063
21:33:04:955,0.9078,0.0855,0.5053,1.055
21:33:04:962,0.8964,0.0823,0.4972,1.041
21:33:04:962,0.8871,0.0789,0.4867,1.027
21:33:04:963,0.8824,0.0733,0.4738,1.016
21:33:04:964,0.8800,0.0660,0.4596,1.006
21:33:04:966,0.8793,0.0586,0.4454,0.998
21:33:04:967,0.8795,0.0535,0.4317,0.992
21:33:04:969,0.8788,0.0496,0.4186,0.985
21:33:04:972,0.8785,0.0469,0.4088,0.980
21:33:04:974,0.8793,0.0447,0.4002,0.977
21:33:04:975,0.8817,0.0428,0.3924,0.975
21:33:04:978,0.8841,0.0413,0.3865,0.975
21:33:04:984,0.8866,0.0428,0.3824,0.976
21:33:04:985,0.8873,0.0442,0.3780,0.975
21:33:04:985,0.8878,0.0469,0.3748,0.974
21:33:04:986,0.8895,0.0520,0.3748,0.976
21:33:04:989,0.8920,0.0591,0.3763,0.980
21:33:04:990,0.8942,0.0667,0.3780,0.983
21:33:04:991,0.8956,0.0762,0.3790,0.986
21:33:04:993,0.8961,0.0875,0.3809,0.989
21:33:04:995,0.8959,0.0994,0.3824,0.991
21:33:04:997,0.8973,0.1109,0.3829,0.994
