time,gFx,gFy,gFz,TgF
21:10:59:694,0.9704,-0.0330,0.2739,1.012
21:10:59:696,0.9672,-0.0352,0.2820,1.011
21:10:59:697,0.9621,-0.0362,0.2827,1.007
21:10:59:698,0.9545,-0.0362,0.2800,0.998
21:10:59:699,0.9474,-0.0364,0.2800,0.992
21:10:59:700,0.9440,-0.0352,0.2866,0.990
21:10:59:701,0.9433,-0.0327,0.2959,0.993
21:10:59:701,0.9455,-0.0283,0.3037,0.997
21:10:59:702,0.9496,-0.0237,0.3079,1.003
21:10:59:703,0.9550,-0.0188,0.3084,1.008
21:10:59:704,0.9606,-0.0142,0.3057,1.013
21:10:59:710,0.9653,-0.0112,0.2996,1.015
21:10:59:711,0.9687,-0.0103,0.2913,1.016
21:10:59:712,0.9719,-0.0098,0.2827,1.017
21:10:59:713,0.9750,-0.0093,0.2756,1.017
21:10:59:715,0.9777,-0.0083,0.2727,1.019
21:10:59:732,0.9792,-0.0090,0.2732,1.021
21:10:59:732,0.9816,-0.0098,0.2761,1.024
21:10:59:733,0.9846,-0.0100,0.2788,1.027
21:10:59:734,0.9860,-0.0103,0.2788,1.029
21:10:59:734,0.9841,-0.0078,0.2717,1.025
21:10:59:735,0.9794,-0.0037,0.2583,1.017
21:10:59:736,0.9748,0.0005,0.2400,1.008
21:10:59:737,0.9697,0.0044,0.2204,0.998
21:10:59:738,0.9643,0.0076,0.2048,0.990
21:10:59:739,0.9591,0.0088,0.1928,0.982
21:10:59:739,0.9565,0.0090,0.1833,0.978
21:10:59:740,0.9555,0.0076,0.1760,0.975
21:10:59:741,0.9565,0.0056,0.1711,0.975
21:10:59:742,0.9596,0.0042,0.1698,0.978
21:10:59:745,0.9609,0.0037,0.1701,0.979
21:10:59:746,0.9635,0.0049,0.1745,0.982
21:10:59:749,0.9670,0.0061,0.1838,0.988
21:10:59:750,0.9697,0.0049,0.1935,0.992
21:10:59:756,0.9738,0.0032,0.2053,0.999
21:10:59:756,0.9748,0.0020,0.2111,1.001
21:10:59:757,0.9755,0.0000,0.2197,1.004
21:10:59:757,0.9762,-0.0027,0.2268,1.006
21:10:59:759,0.9758,-0.0046,0.2324,1.007
21:10:59:761,0.9728,-0.0059,0.2365,1.005
21:10:59:765,0.9714,-0.0061,0.2419,1.005
21:10:59:767,0.9694,-0.0073,0.2468,1.004
21:10:59:768,0.9670,-0.0093,0.2483,1.002
21:10:59:769,0.9655,-0.0103,0.2461,1.000
21:10:59:771,0.9655,-0.0107,0.2402,0.999
21:10:59:774,0.9667,-0.0117,0.2331,0.998
21:10:59:776,0.9687,-0.0144,0.2277,0.998
