time,gFx,gFy,gFz,TgF
21:16:51:924,0.8749,0.0183,0.5126,1.024
21:16:51:926,0.8758,0.0156,0.5087,1.023
21:16:51:927,0.8780,0.0120,0.5019,1.021
21:16:51:928,0.8788,0.0073,0.4936,1.017
21:16:51:930,0.8783,0.0024,0.4843,1.012
21:16:51:931,0.8793,-0.0029,0.4757,1.008
21:16:51:935,0.8807,-0.0083,0.4696,1.006
21:16:51:936,0.8785,-0.0134,0.4630,1.001
21:16:51:938,0.8736,-0.0178,0.4559,0.993
21:16:51:939,0.8714,-0.0200,0.4535,0.990
21:16:51:940,0.8673,-0.0247,0.4515,0.985
21:16:51:942,0.8631,-0.0286,0.4506,0.981
21:16:51:943,0.8592,-0.0315,0.4503,0.977
21:16:51:945,0.8536,-0.0322,0.4508,0.973
21:16:51:946,0.8492,-0.0330,0.4542,0.970
21:16:51:948,0.8465,-0.0344,0.4589,0.970
21:16:51:950,0.8460,-0.0349,0.4657,0.973
21:16:51:951,0.8424,-0.0327,0.4735,0.974
21:16:51:953,0.8404,-0.0305,0.4808,0.976
21:16:51:954,0.8402,-0.0269,0.4870,0.979
21:16:51:955,0.8399,-0.0222,0.4918,0.982
21:16:51:957,0.8402,-0.0178,0.4948,0.983
21:16:51:959,0.8409,-0.0134,0.4962,0.985
21:16:51:970,0.8416,-0.0088,0.4933,0.984
21:16:51:971,0.8429,-0.0046,0.4870,0.982
21:16:51:972,0.8473,-0.0007,0.4808,0.983
21:16:51:973,0.8534,0.0024,0.4760,0.986
21:16:51:973,0.8595,0.0046,0.4718,0.989
21:16:51:975,0.8653,0.0066,0.4681,0.993
21:16:51:976,0.8700,0.0073,0.4650,0.995
21:16:51:977,0.8727,0.0071,0.4608,0.996
21:16:51:978,0.8766,0.0073,0.4576,0.998
21:16:51:979,0.8812,0.0083,0.4576,1.002
21:16:51:979,0.8861,0.0090,0.4608,1.007
21:16:51:981,0.8895,0.0098,0.4635,1.012
21:16:51:990,0.8922,0.0098,0.4652,1.015
21:16:51:991,0.8944,0.0100,0.4674,1.018
21:16:51:992,0.8946,0.0110,0.4674,1.018
21:16:51:993,0.8959,0.0115,0.4674,1.019
21:16:51:993,0.8993,0.0110,0.4696,1.023
21:16:51:994,0.9008,0.0107,0.4708,1.025
21:16:51:994,0.9027,0.0098,0.4723,1.028
21:16:51:999,0.9022,0.0093,0.4716,1.027
21:16:52:000,0.9030,0.0086,0.4708,1.027
21:16:52:001,0.9047,0.0068,0.4721,1.029
21:16:52:005,0.9056,0.0054,0.4735,1.030
21:16:52:006,0.9052,0.0039,0.4730,1.030
21:16:52:006,0.9042,0.0024,0.4721,1.028
21:16:52:016,0.9039,0.0017,0.4689,1.027
21:16:52:017,0.9054,0.0005,0.4674,1.027
21:16:52:017,0.9059,-0.0010,0.4679,1.028
21:16:52:018,0.9071,-0.0024,0.4689,1.029
21:16:52:018,0.9054,-0.0039,0.4679,1.027
21:16:52:018,0.9020,-0.0034,0.4667,1.024
21:16:52:021,0.8988,-0.0034,0.4674,1.021
21:16:52:023,0.8968,-0.0044,0.4696,1.020
21:16:52:026,0.8964,-0.0046,0.4723,1.021
21:16:52:027,0.8944,-0.0051,0.4750,1.021
21:16:52:028,0.8920,-0.0061,0.4774,1.020
21:16:52:030,0.8917,-0.0066,0.4806,1.021
21:16:52:033,0.8929,-0.0064,0.4852,1.025
21:16:52:035,0.8942,-0.0068,0.4899,1.028
21:16:52:037,0.8949,-0.0066,0.4933,1.030
21:16:52:038,0.8949,-0.0068,0.4958,1.031
21:16:52:041,0.8959,-0.0068,0.4972,1.033
21:16:52:044,0.8966,-0.0066,0.4955,1.033
21:16:52:045,0.8978,-0.0078,0.4889,1.031
21:16:52:047,0.8995,-0.0100,0.4808,1.028
21:16:52:049,0.9012,-0.0120,0.4723,1.025
21:16:52:051,0.9027,-0.0142,0.4618,1.022
21:16:52:053,0.9034,-0.0169,0.4518,1.017
21:16:52:055,0.9034,-0.0193,0.4440,1.014
21:16:52:057,0.9022,-0.0208,0.4388,1.010
21:16:52:060,0.9010,-0.0217,0.4361,1.008
21:16:52:061,0.9015,-0.0230,0.4374,1.009
21:16:52:063,0.9015,-0.0244,0.4418,1.011
21:16:52:065,0.9000,-0.0257,0.4481,1.012
21:16:52:066,0.8986,-0.0254,0.4520,1.013
21:16:52:069,0.8959,-0.0247,0.4589,1.014
21:16:52:070,0.8927,-0.0237,0.4652,1.014
21:16:52:072,0.8903,-0.0220,0.4723,1.015
21:16:52:075,0.8881,-0.0188,0.4784,1.016
21:16:52:076,0.8871,-0.0156,0.4833,1.018
21:16:52:078,0.8866,-0.0137,0.4852,1.019
21:16:52:081,0.8871,-0.0110,0.4843,1.019
21:16:52:082,0.8888,-0.0083,0.4816,1.019
