time,gFx,gFy,gFz,TgF
21:37:06:993,0.4417,0.3601,-0.8438,1.021
21:37:06:995,0.4376,0.3611,-0.8460,1.021
21:37:06:997,0.4332,0.3626,-0.8487,1.022
21:37:06:998,0.4283,0.3630,-0.8526,1.024
21:37:06:999,0.4226,0.3621,-0.8570,1.024
21:37:06:999,0.4165,0.3616,-0.8606,1.025
21:37:07:000,0.4033,0.3601,-0.8631,1.021
21:37:07:001,0.3877,0.3589,-0.8633,1.015
21:37:07:002,0.3850,0.3591,-0.8619,1.012
21:37:07:003,0.3916,0.3594,-0.8609,1.014
21:37:07:003,0.3980,0.3606,-0.8609,1.017
21:37:07:004,0.4012,0.3618,-0.8599,1.018
21:37:07:008,0.4026,0.3630,-0.8562,1.016
21:37:07:009,0.4019,0.3640,-0.8511,1.012
21:37:07:009,0.3997,0.3645,-0.8450,1.006
21:37:07:022,0.3970,0.3645,-0.8386,1.000
21:37:07:023,0.3960,0.3643,-0.8360,0.997
21:37:07:024,0.3943,0.3630,-0.8308,0.992
21:37:07:025,0.3941,0.3616,-0.8269,0.988
21:37:07:025,0.3950,0.3606,-0.8237,0.985
21:37:07:026,0.3965,0.3604,-0.8215,0.984
21:37:07:027,0.3980,0.3606,-0.8191,0.983
21:37:07:028,0.3985,0.3611,-0.8152,0.980
21:37:07:029,0.3985,0.3606,-0.8108,0.976
21:37:07:034,0.3997,0.3599,-0.8066,0.973
21:37:07:035,0.4004,0.3591,-0.8025,0.970
21:37:07:036,0.4021,0.3584,-0.7988,0.967
21:37:07:037,0.4046,0.3586,-0.7957,0.966
21:37:07:038,0.4068,0.3591,-0.7920,0.964
21:37:07:039,0.4085,0.3594,-0.7886,0.962
21:37:07:041,0.4114,0.3594,-0.7849,0.960
21:37:07:043,0.4141,0.3589,-0.7817,0.959
21:37:07:045,0.4156,0.3582,-0.7793,0.957
21:37:07:049,0.4175,0.3574,-0.7773,0.956
21:37:07:050,0.4207,0.3567,-0.7751,0.955
21:37:07:051,0.4236,0.3555,-0.7722,0.954
21:37:07:053,0.4268,0.3538,-0.7690,0.952
21:37:07:055,0.4297,0.3520,-0.7663,0.951
21:37:07:058,0.4324,0.3506,-0.7636,0.949
21:37:07:059,0.4356,0.3489,-0.7607,0.947
21:37:07:061,0.4388,0.3472,-0.7566,0.945
21:37:07:065,0.4420,0.3454,-0.7522,0.942
21:37:07:066,0.4463,0.3437,-0.7500,0.942
21:37:07:068,0.4522,0.3433,-0.7480,0.943
21:37:07:070,0.4583,0.3430,-0.7448,0.943
21:37:07:071,0.4625,0.3430,-0.7404,0.942
21:37:07:074,0.4652,0.3445,-0.7368,0.941
21:37:07:075,0.4686,0.3464,-0.7338,0.941
21:37:07:078,0.4718,0.3484,-0.7329,0.943
21:37:07:080,0.4744,0.3501,-0.7321,0.945
21:37:07:081,0.4774,0.3525,-0.7324,0.947
21:37:07:084,0.4808,0.3552,-0.7341,0.951
21:37:07:086,0.4849,0.3577,-0.7375,0.957
21:37:07:087,0.4901,0.3606,-0.7419,0.964
21:37:07:090,0.4947,0.3630,-0.7478,0.972
21:37:07:091,0.5001,0.3643,-0.7546,0.980
21:37:07:093,0.5035,0.3650,-0.7583,0.985
21:37:07:097,0.5101,0.3665,-0.7663,0.995
21:37:07:098,0.5155,0.3679,-0.7746,1.005
21:37:07:100,0.5204,0.3696,-0.7834,1.015
21:37:07:101,0.5248,0.3704,-0.7915,1.023
21:37:07:103,0.5284,0.3711,-0.7988,1.031
21:37:07:105,0.5311,0.3718,-0.8052,1.038
21:37:07:107,0.5331,0.3726,-0.8113,1.043
21:37:07:109,0.5343,0.3735,-0.8169,1.049
21:37:07:112,0.5348,0.3731,-0.8233,1.054
21:37:07:113,0.5343,0.3718,-0.8303,1.058
21:37:07:115,0.5323,0.3701,-0.8374,1.062
21:37:07:118,0.5294,0.3689,-0.8440,1.065
21:37:07:119,0.5250,0.3682,-0.8506,1.068
21:37:07:121,0.5194,0.3672,-0.8555,1.069
21:37:07:123,0.5123,0.3667,-0.8589,1.068
21:37:07:125,0.5052,0.3655,-0.8604,1.065
21:37:07:127,0.4981,0.3640,-0.8597,1.061
21:37:07:130,0.4898,0.3618,-0.8582,1.055
21:37:07:132,0.4815,0.3604,-0.8558,1.048
21:37:07:133,0.4722,0.3601,-0.8545,1.043
21:37:07:135,0.4632,0.3599,-0.8536,1.038
21:37:07:137,0.4532,0.3596,-0.8511,1.032
21:37:07:139,0.4405,0.3596,-0.8484,1.024
21:37:07:141,0.4256,0.3594,-0.8438,1.014
21:37:07:143,0.4077,0.3601,-0.8384,1.002
21:37:07:146,0.3882,0.3611,-0.8328,0.990
21:37:07:149,0.3711,0.3611,-0.8277,0.980
21:37:07:150,0.3579,0.3604,-0.8247,0.972
21:37:07:151,0.3489,0.3589,-0.8267,0.970
21:37:07:154,0.3408,0.3577,-0.8333,0.972
21:37:07:155,0.3318,0.3574,-0.8404,0.975
21:37:07:157,0.3242,0.3567,-0.8465,0.977
21:37:07:159,0.3210,0.3547,-0.8526,0.980
21:37:07:162,0.3203,0.3518,-0.8582,0.984
21:37:07:176,0.3225,0.3484,-0.8638,0.988
21:37:07:178,0.3266,0.3459,-0.8689,0.993
21:37:07:179,0.3288,0.3442,-0.8719,0.995
21:37:07:180,0.3325,0.3433,-0.8731,0.997
