time,gFx,gFy,gFz,TgF
21:18:59:287,0.7371,0.0853,0.7613,1.080
21:18:59:289,0.7385,0.0860,0.7691,1.087
21:18:59:290,0.7373,0.0860,0.7694,1.086
21:18:59:291,0.7344,0.0843,0.7618,1.078
21:18:59:292,0.7329,0.0828,0.7501,1.069
21:18:59:293,0.7332,0.0801,0.7364,1.059
21:18:59:294,0.7339,0.0772,0.7227,1.049
21:18:59:295,0.7354,0.0743,0.7095,1.041
21:18:59:295,0.7380,0.0708,0.6966,1.033
21:18:59:296,0.7417,0.0677,0.6853,1.028
21:18:59:297,0.7464,0.0635,0.6768,1.025
21:18:59:298,0.7527,0.0601,0.6695,1.024
21:18:59:299,0.7605,0.0569,0.6609,1.024
21:18:59:299,0.7671,0.0533,0.6502,1.021
21:18:59:306,0.7718,0.0513,0.6367,1.016
21:18:59:307,0.7745,0.0518,0.6216,1.008
21:18:59:309,0.7745,0.0542,0.6059,0.999
21:18:59:310,0.7715,0.0567,0.5952,0.990
21:18:59:320,0.7688,0.0591,0.5879,0.984
21:18:59:322,0.7669,0.0603,0.5830,0.979
21:18:59:323,0.7605,0.0630,0.5730,0.968
21:18:59:324,0.7490,0.0665,0.5673,0.956
21:18:59:326,0.7346,0.0694,0.5710,0.948
21:18:59:327,0.7207,0.0699,0.5905,0.950
21:18:59:327,0.7148,0.0699,0.6284,0.970
21:18:59:328,0.7212,0.0728,0.6782,1.009
21:18:59:328,0.7327,0.0779,0.7188,1.046
21:18:59:329,0.7383,0.0826,0.7347,1.061
21:18:59:329,0.7317,0.0855,0.7318,1.055
21:18:59:339,0.7200,0.0870,0.7293,1.046
21:18:59:340,0.7100,0.0889,0.7313,1.040
21:18:59:341,0.7019,0.0911,0.7337,1.037
21:18:59:342,0.6953,0.0919,0.7344,1.033
21:18:59:342,0.6909,0.0906,0.7330,1.029
21:18:59:343,0.6894,0.0880,0.7300,1.025
21:18:59:344,0.6916,0.0848,0.7259,1.024
21:18:59:345,0.6960,0.0814,0.7212,1.023
21:18:59:348,0.7012,0.0777,0.7173,1.023
21:18:59:349,0.7063,0.0750,0.7115,1.022
21:18:59:351,0.7112,0.0733,0.7037,1.020
21:18:59:353,0.7141,0.0718,0.6951,1.015
21:18:59:356,0.7146,0.0684,0.6892,1.011
21:18:59:359,0.7144,0.0643,0.6861,1.008
21:18:59:361,0.7168,0.0616,0.6829,1.008
21:18:59:362,0.7195,0.0599,0.6809,1.008
21:18:59:363,0.7229,0.0611,0.6804,1.010
21:18:59:366,0.7278,0.0660,0.6822,1.015
21:18:59:368,0.7327,0.0718,0.6853,1.022
21:18:59:369,0.7351,0.0777,0.6888,1.027
21:18:59:371,0.7373,0.0828,0.6914,1.031
21:18:59:374,0.7400,0.0877,0.6914,1.033
21:18:59:375,0.7429,0.0901,0.6892,1.034
21:18:59:377,0.7449,0.0904,0.6858,1.033
21:18:59:379,0.7456,0.0904,0.6839,1.032
21:18:59:381,0.7466,0.0899,0.6817,1.032
21:18:59:383,0.7471,0.0882,0.6802,1.031
21:18:59:386,0.7476,0.0845,0.6792,1.030
21:18:59:387,0.7476,0.0796,0.6790,1.029
21:18:59:390,0.7466,0.0748,0.6775,1.027
21:18:59:391,0.7466,0.0699,0.6756,1.025
21:18:59:393,0.7488,0.0645,0.6743,1.025
21:18:59:397,0.7525,0.0586,0.6721,1.026
