time,gFx,gFy,gFz,TgF
22:08:06:767,0.7862,0.0332,0.6125,1.010
22:08:06:767,0.7857,0.0342,0.6135,1.010
22:08:06:769,0.7872,0.0362,0.6145,1.012
22:08:06:771,0.7889,0.0376,0.6150,1.014
22:08:06:773,0.7913,0.0384,0.6152,1.016
22:08:06:789,0.7947,0.0384,0.6162,1.019
22:08:06:790,0.7989,0.0381,0.6181,1.024
22:08:06:791,0.8038,0.0374,0.6196,1.028
22:08:06:791,0.8082,0.0357,0.6194,1.032
22:08:06:791,0.8128,0.0335,0.6169,1.034
22:08:06:792,0.8167,0.0320,0.6147,1.035
22:08:06:792,0.8192,0.0310,0.6125,1.036
22:08:06:793,0.8196,0.0305,0.6101,1.034
22:08:06:793,0.8194,0.0300,0.6096,1.034
22:08:06:794,0.8194,0.0298,0.6098,1.034
22:08:06:794,0.8187,0.0305,0.6106,1.034
22:08:06:796,0.8167,0.0305,0.6108,1.033
22:08:06:798,0.8135,0.0305,0.6111,1.030
22:08:06:800,0.8099,0.0310,0.6111,1.027
22:08:06:802,0.8052,0.0315,0.6101,1.023
22:08:06:803,0.8008,0.0320,0.6084,1.019
22:08:06:806,0.7967,0.0330,0.6072,1.015
22:08:06:808,0.7942,0.0347,0.6074,1.013
22:08:06:810,0.7945,0.0362,0.6096,1.015
22:08:06:812,0.7945,0.0374,0.6111,1.016
22:08:06:814,0.7940,0.0379,0.6133,1.017
22:08:06:816,0.7945,0.0374,0.6150,1.018
22:08:06:818,0.7950,0.0371,0.6157,1.019
22:08:06:820,0.7962,0.0366,0.6152,1.020
22:08:06:822,0.7974,0.0369,0.6142,1.020
22:08:06:824,0.7979,0.0371,0.6135,1.020
22:08:06:826,0.7986,0.0374,0.6118,1.020
22:08:06:829,0.7999,0.0374,0.6101,1.019
22:08:06:830,0.8016,0.0369,0.6098,1.021
22:08:06:832,0.8030,0.0366,0.6098,1.022
22:08:06:834,0.8040,0.0366,0.6101,1.023
22:08:06:836,0.8043,0.0359,0.6111,1.023
22:08:06:838,0.8047,0.0349,0.6133,1.025
22:08:06:840,0.8050,0.0332,0.6147,1.026
22:08:06:842,0.8052,0.0320,0.6160,1.027
22:08:06:845,0.8052,0.0322,0.6162,1.027
22:08:06:847,0.8047,0.0318,0.6152,1.026
22:08:06:848,0.8038,0.0303,0.6135,1.024
22:08:06:850,0.8033,0.0298,0.6106,1.022
22:08:06:852,0.8028,0.0293,0.6096,1.021
22:08:06:854,0.8021,0.0296,0.6106,1.021
22:08:06:856,0.7986,0.0303,0.6123,1.019
22:08:06:858,0.7942,0.0322,0.6145,1.017
22:08:06:860,0.7898,0.0354,0.6157,1.015
22:08:06:862,0.7840,0.0391,0.6155,1.011
22:08:06:864,0.7786,0.0435,0.6145,1.006
22:08:06:866,0.7735,0.0479,0.6133,1.002
22:08:06:868,0.7696,0.0515,0.6130,0.999
22:08:06:870,0.7681,0.0555,0.6155,1.000
22:08:06:872,0.7686,0.0589,0.6184,1.003
22:08:06:874,0.7713,0.0611,0.6213,1.007
22:08:06:876,0.7759,0.0635,0.6238,1.012
22:08:06:882,0.7815,0.0647,0.6252,1.017
22:08:06:883,0.7884,0.0645,0.6252,1.023
22:08:06:884,0.7942,0.0643,0.6221,1.025
22:08:06:885,0.7989,0.0643,0.6162,1.025
22:08:06:888,0.8018,0.0640,0.6096,1.023
22:08:06:889,0.8043,0.0625,0.6023,1.021
22:08:06:890,0.8082,0.0591,0.5957,1.019
22:08:06:892,0.8116,0.0562,0.5901,1.018
22:08:06:894,0.8118,0.0552,0.5883,1.017
22:08:06:898,0.8099,0.0525,0.5871,1.015
22:08:06:899,0.8047,0.0503,0.5879,1.011
22:08:06:900,0.7994,0.0481,0.5918,1.009
22:08:06:902,0.7959,0.0454,0.5959,1.008
22:08:06:904,0.7925,0.0432,0.5976,1.007
22:08:06:906,0.7908,0.0418,0.5969,1.005
22:08:06:908,0.7898,0.0398,0.5952,1.003
22:08:06:910,0.7894,0.0391,0.5937,1.001
22:08:06:913,0.7891,0.0384,0.5923,1.000
22:08:06:915,0.7916,0.0366,0.5905,1.001
22:08:06:916,0.7950,0.0349,0.5879,1.002
22:08:06:918,0.7952,0.0342,0.5857,1.001
22:08:06:920,0.7950,0.0337,0.5839,0.999
22:08:06:922,0.7969,0.0337,0.5835,1.001
22:08:06:924,0.7994,0.0332,0.5854,1.004
22:08:06:926,0.8011,0.0327,0.5879,1.006
22:08:06:928,0.8018,0.0318,0.5888,1.008
22:08:06:931,0.8038,0.0310,0.5905,1.010
22:08:06:933,0.8082,0.0296,0.5920,1.014
22:08:06:934,0.8121,0.0269,0.5937,1.018
22:08:06:936,0.8160,0.0247,0.5954,1.022
22:08:06:938,0.8209,0.0213,0.5974,1.027
22:08:06:941,0.8272,0.0178,0.5979,1.032
22:08:06:943,0.8324,0.0154,0.5979,1.036
22:08:06:944,0.8358,0.0132,0.5979,1.039
22:08:06:947,0.8372,0.0120,0.5976,1.040
22:08:06:948,0.8399,0.0107,0.5957,1.041
22:08:06:950,0.8548,0.0029,0.5954,1.052
22:08:06:952,0.8878,-0.0178,0.6023,1.082
22:08:06:954,0.8800,-0.0200,0.5949,1.072
22:08:06:956,0.8468,-0.0037,0.5817,1.037
22:08:06:958,0.8289,0.0064,0.5795,1.022
22:08:06:960,0.8038,0.0252,0.5866,1.007
22:08:06:963,0.7930,0.0376,0.6064,1.012
22:08:06:965,0.7955,0.0445,0.6301,1.029
22:08:06:966,0.8084,0.0462,0.6440,1.048
22:08:06:967,0.8223,0.0442,0.6460,1.060
22:08:06:970,0.8382,0.0410,0.6450,1.071
22:08:06:972,0.8651,0.0286,0.6494,1.094
22:08:06:973,0.8778,0.0183,0.6526,1.105
22:08:06:975,0.8565,0.0300,0.6489,1.087
22:08:06:978,0.8338,0.0469,0.6453,1.069
22:08:06:984,0.8248,0.0572,0.6475,1.064
22:08:06:986,0.8228,0.0625,0.6514,1.065
22:08:06:987,0.8221,0.0665,0.6538,1.067
22:08:06:988,0.8228,0.0706,0.6477,1.064
22:08:06:989,0.8194,0.0750,0.6372,1.055
22:08:06:990,0.8153,0.0796,0.6272,1.046
22:08:06:991,0.8145,0.0833,0.6155,1.039
22:08:06:993,0.8167,0.0860,0.6062,1.036
22:08:07:005,0.8157,0.0897,0.5998,1.031
22:08:07:007,0.8065,0.0931,0.5979,1.023
22:08:07:008,0.7901,0.0948,0.5974,1.011
22:08:07:009,0.7745,0.0953,0.5910,0.995
22:08:07:010,0.7701,0.0945,0.5861,0.988
22:08:07:010,0.7764,0.0919,0.5937,0.997
22:08:07:011,0.7784,0.0894,0.6067,1.006
22:08:07:013,0.7747,0.0865,0.6189,1.011
22:08:07:014,0.7730,0.0823,0.6287,1.015
22:08:07:016,0.7740,0.0782,0.6338,1.019
22:08:07:017,0.7776,0.0721,0.6299,1.018
22:08:07:018,0.7798,0.0633,0.6186,1.012
22:08:07:021,0.7825,0.0545,0.6096,1.007
22:08:07:022,0.7862,0.0469,0.6025,1.005
22:08:07:024,0.7874,0.0410,0.5954,1.001
22:08:07:025,0.7889,0.0359,0.5910,0.999
22:08:07:029,0.7896,0.0320,0.5923,1.000
22:08:07:030,0.7896,0.0305,0.5935,1.001
22:08:07:032,0.7891,0.0298,0.5942,1.001
22:08:07:033,0.7869,0.0303,0.5920,0.998
22:08:07:037,0.7798,0.0305,0.5849,0.988
22:08:07:039,0.7696,0.0318,0.5771,0.975
22:08:07:041,0.7603,0.0332,0.5727,0.965
22:08:07:042,0.7515,0.0359,0.5698,0.957
22:08:07:043,0.7483,0.0376,0.5690,0.954
22:08:07:047,0.7466,0.0393,0.5710,0.954
22:08:07:048,0.7461,0.0420,0.5739,0.956
22:08:07:050,0.7486,0.0445,0.5771,0.960
22:08:07:051,0.7534,0.0454,0.5830,0.967
22:08:07:054,0.7583,0.0464,0.5913,0.976
22:08:07:056,0.7595,0.0484,0.5976,0.981
22:08:07:058,0.7600,0.0503,0.6042,0.986
22:08:07:059,0.7647,0.0528,0.6150,0.997
22:08:07:062,0.7718,0.0542,0.6287,1.011
22:08:07:065,0.7759,0.0547,0.6409,1.022
22:08:07:067,0.7788,0.0562,0.6484,1.029
22:08:07:069,0.7850,0.0579,0.6516,1.036
22:08:07:070,0.7923,0.0599,0.6514,1.042
22:08:07:071,0.7974,0.0611,0.6480,1.044
22:08:07:073,0.8003,0.0625,0.6431,1.043
22:08:07:075,0.8025,0.0660,0.6316,1.038
22:08:07:077,0.8074,0.0740,0.6086,1.028
22:08:07:082,0.8131,0.0843,0.5817,1.018
22:08:07:083,0.8196,0.0906,0.5681,1.016
22:08:07:084,0.8309,0.0882,0.5810,1.032
22:08:07:086,0.8448,0.0774,0.6101,1.059
22:08:07:089,0.8517,0.0647,0.6365,1.079
22:08:07:091,0.8519,0.0557,0.6516,1.087
22:08:07:091,0.8490,0.0515,0.6565,1.088
22:08:07:093,0.8394,0.0491,0.6548,1.079
22:08:07:102,0.8226,0.0476,0.6484,1.062
22:08:07:104,0.8057,0.0476,0.6409,1.044
22:08:07:105,0.7881,0.0423,0.6401,1.030
22:08:07:106,0.7723,0.0342,0.6392,1.016
22:08:07:107,0.7605,0.0181,0.6399,1.007
22:08:07:108,0.7552,0.0039,0.6426,1.004
22:08:07:109,0.7691,0.0132,0.6260,1.004
22:08:07:109,0.7911,0.0533,0.6008,1.008
22:08:07:112,0.7977,0.0735,0.5974,1.014
22:08:07:115,0.7969,0.0733,0.6086,1.020
22:08:07:116,0.7938,0.0679,0.6211,1.025
22:08:07:118,0.7923,0.0643,0.6323,1.030
22:08:07:119,0.7916,0.0635,0.6448,1.037
22:08:07:122,0.7913,0.0618,0.6575,1.045
22:08:07:123,0.7962,0.0584,0.6697,1.056
22:08:07:125,0.8043,0.0540,0.6834,1.071
22:08:07:127,0.8094,0.0486,0.6951,1.082
22:08:07:130,0.8113,0.0423,0.7039,1.089
22:08:07:132,0.8113,0.0374,0.7103,1.093
22:08:07:133,0.8089,0.0344,0.7190,1.096
22:08:07:135,0.8052,0.0318,0.7366,1.105
22:08:07:137,0.8214,0.0198,0.8107,1.168
22:08:07:139,0.8519,-0.0181,0.9863,1.316
22:08:07:142,0.8846,-0.0467,1.1654,1.477
22:08:07:143,0.9203,-0.0506,1.2294,1.549
22:08:07:146,1.0080,-0.0528,1.1847,1.568
22:08:07:147,1.1324,-0.0606,1.0760,1.573
22:08:07:151,1.1346,-0.0577,0.9428,1.486
22:08:07:153,1.0576,-0.0550,0.7796,1.323
22:08:07:153,0.9833,-0.0596,0.6267,1.175
22:08:07:155,0.9528,-0.0398,0.5637,1.115
22:08:07:157,0.9403,-0.0056,0.5275,1.087
22:08:07:159,0.8942,0.0203,0.4899,1.029
22:08:07:162,0.8260,0.0349,0.4518,0.953
22:08:07:167,0.7696,0.0452,0.4220,0.890
22:08:07:169,0.7317,0.0530,0.4005,0.848
22:08:07:170,0.7085,0.0562,0.3873,0.822
22:08:07:171,0.6975,0.0569,0.3861,0.812
22:08:07:172,0.7016,0.0555,0.3963,0.820
22:08:07:173,0.7219,0.0533,0.4095,0.844
22:08:07:175,0.7534,0.0520,0.4176,0.875
22:08:07:178,0.7703,0.0525,0.4178,0.889
22:08:07:179,0.8016,0.0564,0.4122,0.914
22:08:07:182,0.8299,0.0638,0.4027,0.936
22:08:07:184,0.8624,0.0730,0.3968,0.963
22:08:07:185,0.9017,0.0809,0.4022,1.002
22:08:07:187,0.9457,0.0892,0.4146,1.048
22:08:07:190,0.9728,0.1014,0.4288,1.080
22:08:07:191,0.9860,0.1134,0.4410,1.098
22:08:07:194,0.9919,0.1229,0.4523,1.110
22:08:07:195,0.9912,0.1297,0.4625,1.114
22:08:07:198,0.9863,0.1339,0.4679,1.113
22:08:07:199,0.9743,0.1361,0.4691,1.103
22:08:07:202,0.9560,0.1385,0.4689,1.088
22:08:07:203,0.9347,0.1417,0.4681,1.069
22:08:07:205,0.9144,0.1451,0.4667,1.052
22:08:07:207,0.9056,0.1468,0.4645,1.043
22:08:07:210,0.8946,0.1490,0.4562,1.030
22:08:07:211,0.8732,0.1520,0.4422,1.006
22:08:07:214,0.8541,0.1566,0.4286,0.984
22:08:07:216,0.8404,0.1620,0.4166,0.968
22:08:07:217,0.8262,0.1671,0.4049,0.952
22:08:07:219,0.8145,0.1730,0.3922,0.937
22:08:07:221,0.8150,0.1808,0.3719,0.931
22:08:07:223,0.8177,0.1964,0.3418,0.925
22:08:07:226,0.8111,0.2077,0.3206,0.914
22:08:07:227,0.7969,0.2072,0.3223,0.902
22:08:07:231,0.7820,0.1991,0.3348,0.892
22:08:07:232,0.7644,0.1908,0.3435,0.878
22:08:07:233,0.7483,0.1886,0.3443,0.863
22:08:07:235,0.7490,0.1915,0.3414,0.863
22:08:07:237,0.7605,0.1932,0.3387,0.873
22:08:07:239,0.7710,0.1913,0.3382,0.881
22:08:07:242,0.7808,0.1830,0.3406,0.889
22:08:07:243,0.7876,0.1715,0.3457,0.894
22:08:07:246,0.7825,0.1642,0.3541,0.891
22:08:07:247,0.7749,0.1620,0.3643,0.888
22:08:07:251,0.7752,0.1617,0.3704,0.891
22:08:07:252,0.7798,0.1617,0.3824,0.900
22:08:07:253,0.7825,0.1617,0.3931,0.907
22:08:07:255,0.7830,0.1610,0.4061,0.914
22:08:07:257,0.7810,0.1588,0.4220,0.919
22:08:07:259,0.7788,0.1566,0.4401,0.925
22:08:07:262,0.7720,0.1539,0.4559,0.927
22:08:07:263,0.7639,0.1524,0.4716,0.928
22:08:07:266,0.7620,0.1539,0.4870,0.935
22:08:07:268,0.7649,0.1544,0.5004,0.945
22:08:07:269,0.7637,0.1505,0.5129,0.950
22:08:07:273,0.7520,0.1380,0.5473,0.958
22:08:07:274,0.7337,0.1160,0.6157,0.982
22:08:07:275,0.7212,0.0901,0.6963,1.024
22:08:07:277,0.7104,0.0608,0.7784,1.072
22:08:07:282,0.7026,0.0335,0.8397,1.111
22:08:07:283,0.7114,0.0142,0.8468,1.121
22:08:07:284,0.7329,0.0110,0.7950,1.095
22:08:07:289,0.7500,0.0208,0.7212,1.054
22:08:07:290,0.7569,0.0344,0.6653,1.022
22:08:07:291,0.7669,0.0467,0.6323,1.009
22:08:07:292,0.7810,0.0555,0.6133,1.009
22:08:07:293,0.7952,0.0616,0.6003,1.012
22:08:07:295,0.8072,0.0638,0.5920,1.017
22:08:07:298,0.8204,0.0606,0.5869,1.024
22:08:07:300,0.8311,0.0574,0.5764,1.026
22:08:07:302,0.8380,0.0591,0.5566,1.021
22:08:07:303,0.8443,0.0645,0.5280,1.011
22:08:07:305,0.8480,0.0691,0.4933,0.996
22:08:07:307,0.8375,0.0718,0.4637,0.972
22:08:07:309,0.8280,0.0745,0.4444,0.955
22:08:07:311,0.8311,0.0774,0.4278,0.950
