time,gFx,gFy,gFz,TgF
21:50:08:844,0.8113,-0.0151,0.5693,1.001
21:50:08:846,0.8172,-0.0195,0.5739,1.008
21:50:08:848,0.8214,-0.0235,0.5769,1.013
21:50:08:850,0.8223,-0.0259,0.5766,1.014
21:50:08:852,0.8204,-0.0266,0.5742,1.011
21:50:08:855,0.8165,-0.0261,0.5720,1.006
21:50:08:857,0.8118,-0.0244,0.5698,1.001
21:50:08:858,0.8089,-0.0225,0.5681,0.998
21:50:08:860,0.8099,-0.0208,0.5681,0.999
21:50:08:862,0.8148,-0.0203,0.5703,1.004
21:50:08:864,0.8201,-0.0210,0.5720,1.009
21:50:08:866,0.8243,-0.0215,0.5725,1.013
21:50:08:868,0.8270,-0.0217,0.5703,1.014
21:50:08:870,0.8294,-0.0210,0.5649,1.013
21:50:08:882,0.8333,-0.0195,0.5578,1.012
21:50:08:883,0.8382,-0.0195,0.5519,1.013
21:50:08:884,0.8431,-0.0193,0.5488,1.015
21:50:08:885,0.8504,-0.0195,0.5512,1.022
21:50:08:885,0.8587,-0.0198,0.5563,1.032
21:50:08:886,0.8622,-0.0195,0.5602,1.037
21:50:08:887,0.8641,-0.0188,0.5629,1.040
21:50:08:888,0.8661,-0.0195,0.5654,1.043
21:50:08:889,0.8656,-0.0203,0.5661,1.043
21:50:08:906,0.8658,-0.0208,0.5678,1.044
21:50:08:908,0.8644,-0.0217,0.5710,1.045
21:50:08:909,0.8641,-0.0225,0.5764,1.048
21:50:08:909,0.8648,-0.0237,0.5803,1.051
21:50:08:910,0.8636,-0.0242,0.5810,1.050
21:50:08:911,0.8604,-0.0244,0.5827,1.048
21:50:08:912,0.8573,-0.0235,0.5876,1.049
21:50:08:912,0.8568,-0.0230,0.5957,1.053
21:50:08:913,0.8580,-0.0227,0.6020,1.058
21:50:08:914,0.8600,-0.0225,0.6050,1.061
21:50:08:915,0.8597,-0.0217,0.6059,1.061
21:50:08:916,0.8560,-0.0198,0.6032,1.057
21:50:08:916,0.8543,-0.0171,0.5986,1.053
21:50:08:917,0.8548,-0.0149,0.5942,1.051
21:50:08:918,0.8553,-0.0166,0.5891,1.048
21:50:08:921,0.8560,-0.0193,0.5861,1.047
21:50:08:922,0.8590,-0.0178,0.5832,1.048
21:50:08:925,0.8578,-0.0132,0.5813,1.046
21:50:08:926,0.8521,-0.0073,0.5800,1.041
21:50:08:928,0.8458,0.0000,0.5756,1.033
21:50:08:930,0.8404,0.0056,0.5727,1.027
21:50:08:932,0.8348,0.0105,0.5769,1.026
21:50:08:934,0.8216,0.0125,0.5864,1.021
