time,gFx,gFy,gFz,TgF
21:46:25:861,0.7351,0.1600,0.7457,1.079
21:46:25:863,0.7327,0.1666,0.7347,1.071
21:46:25:863,0.7319,0.1730,0.7230,1.064
21:46:25:864,0.7324,0.1793,0.7127,1.058
21:46:25:865,0.7317,0.1845,0.7032,1.053
21:46:25:866,0.7312,0.1896,0.6936,1.047
21:46:25:866,0.7332,0.1942,0.6817,1.041
21:46:25:867,0.7346,0.2006,0.6675,1.034
21:46:25:868,0.7341,0.2079,0.6638,1.033
21:46:25:869,0.7322,0.2130,0.6726,1.039
21:46:25:869,0.7283,0.2133,0.6807,1.042
21:46:25:873,0.7258,0.2089,0.6804,1.039
21:46:25:875,0.7256,0.2023,0.6768,1.034
21:46:25:876,0.7241,0.1952,0.6729,1.029
21:46:25:897,0.7202,0.1888,0.6695,1.023
21:46:25:898,0.7148,0.1835,0.6697,1.018
21:46:25:898,0.7090,0.1815,0.6721,1.015
21:46:25:899,0.7019,0.1803,0.6743,1.011
21:46:25:900,0.6970,0.1781,0.6768,1.009
21:46:25:900,0.6931,0.1742,0.6782,1.006
21:46:25:901,0.6921,0.1705,0.6714,1.000
21:46:25:902,0.6889,0.1691,0.6611,0.991
21:46:25:902,0.6904,0.1673,0.6655,0.994
21:46:25:903,0.6960,0.1630,0.6753,1.004
21:46:25:904,0.6992,0.1561,0.6795,1.008
21:46:25:904,0.7019,0.1478,0.6795,1.008
21:46:25:905,0.7041,0.1402,0.6753,1.005
21:46:25:906,0.7063,0.1336,0.6682,1.001
21:46:25:906,0.7085,0.1278,0.6602,0.995
21:46:25:908,0.7092,0.1222,0.6509,0.989
21:46:25:919,0.7080,0.1175,0.6404,0.980
21:46:25:921,0.7080,0.1141,0.6313,0.973
21:46:25:922,0.7075,0.1119,0.6225,0.967
21:46:25:923,0.7070,0.1109,0.6189,0.964
21:46:25:923,0.7095,0.1109,0.6150,0.963
21:46:25:924,0.7136,0.1124,0.6145,0.966
21:46:25:925,0.7146,0.1151,0.6135,0.967
21:46:25:926,0.7153,0.1180,0.6101,0.965
21:46:25:927,0.7146,0.1217,0.5998,0.959
21:46:25:928,0.7114,0.1261,0.5942,0.954
21:46:25:929,0.7104,0.1300,0.6015,0.958
21:46:25:944,0.7097,0.1324,0.6147,0.967
21:46:25:945,0.7075,0.1341,0.6260,0.973
21:46:25:947,0.7051,0.1346,0.6335,0.976
21:46:25:948,0.7009,0.1353,0.6377,0.976
21:46:25:949,0.6958,0.1358,0.6389,0.974
21:46:25:950,0.6914,0.1358,0.6389,0.970
21:46:25:951,0.6919,0.1336,0.6416,0.972
21:46:25:952,0.6960,0.1300,0.6458,0.977
21:46:25:952,0.7016,0.1261,0.6480,0.982
21:46:25:953,0.7090,0.1244,0.6489,0.988
21:46:25:954,0.7144,0.1248,0.6489,0.992
21:46:25:955,0.7180,0.1268,0.6470,0.993
21:46:25:956,0.7275,0.1273,0.6406,0.996
21:46:25:961,0.7380,0.1285,0.6370,1.001
21:46:25:962,0.7444,0.1314,0.6438,1.011
21:46:25:963,0.7478,0.1331,0.6538,1.021
21:46:25:963,0.7498,0.1327,0.6572,1.024
