time,gFx,gFy,gFz,TgF
22:04:05:558,0.8658,0.0401,0.5102,1.017
22:04:05:559,0.8622,0.0386,0.5107,1.014
22:04:05:559,0.8602,0.0381,0.5109,1.012
22:04:05:560,0.8585,0.0386,0.5109,1.011
22:04:05:561,0.8578,0.0401,0.5107,1.010
22:04:05:563,0.8573,0.0406,0.5092,1.009
22:04:05:565,0.8548,0.0420,0.5065,1.006
22:04:05:568,0.8534,0.0462,0.5045,1.004
22:04:05:570,0.8546,0.0518,0.5043,1.005
22:04:05:571,0.8565,0.0557,0.5043,1.007
22:04:05:573,0.8585,0.0594,0.5026,1.009
22:04:05:575,0.8590,0.0633,0.4992,1.008
22:04:05:578,0.8587,0.0674,0.4950,1.006
22:04:05:579,0.8587,0.0726,0.4904,1.004
22:04:05:581,0.8587,0.0774,0.4855,1.002
22:04:05:583,0.8580,0.0816,0.4821,1.000
22:04:05:596,0.8575,0.0853,0.4808,1.000
22:04:05:597,0.8573,0.0884,0.4796,0.999
22:04:05:598,0.8578,0.0899,0.4791,1.000
22:04:05:598,0.8585,0.0901,0.4804,1.001
22:04:05:599,0.8587,0.0897,0.4811,1.002
22:04:05:599,0.8587,0.0889,0.4808,1.001
22:04:05:599,0.8595,0.0875,0.4791,1.001
22:04:05:600,0.8607,0.0858,0.4769,1.001
22:04:05:601,0.8631,0.0845,0.4760,1.002
22:04:05:604,0.8658,0.0828,0.4750,1.004
22:04:05:605,0.8685,0.0816,0.4743,1.005
22:04:05:613,0.8717,0.0811,0.4743,1.008
22:04:05:614,0.8739,0.0789,0.4755,1.010
22:04:05:614,0.8751,0.0774,0.4772,1.012
22:04:05:615,0.8763,0.0755,0.4791,1.014
22:04:05:616,0.8780,0.0738,0.4830,1.017
22:04:05:621,0.8805,0.0716,0.4874,1.021
22:04:05:622,0.8829,0.0694,0.4911,1.025
22:04:05:623,0.8844,0.0672,0.4936,1.027
22:04:05:624,0.8849,0.0657,0.4945,1.028
22:04:05:625,0.8851,0.0650,0.4948,1.028
22:04:05:627,0.8856,0.0647,0.4948,1.028
22:04:05:629,0.8859,0.0635,0.4955,1.029
22:04:05:631,0.8854,0.0633,0.4965,1.029
22:04:05:634,0.8839,0.0643,0.4977,1.028
22:04:05:638,0.8822,0.0660,0.4982,1.027
22:04:05:639,0.8802,0.0674,0.4965,1.025
22:04:05:640,0.8795,0.0687,0.4936,1.023
22:04:05:642,0.8793,0.0711,0.4901,1.021
22:04:05:643,0.8775,0.0728,0.4865,1.018
22:04:05:645,0.8746,0.0743,0.4835,1.014
22:04:05:647,0.8707,0.0765,0.4830,1.011
22:04:05:649,0.8666,0.0779,0.4830,1.008
22:04:05:652,0.8622,0.0779,0.4818,1.003
22:04:05:654,0.8573,0.0779,0.4813,0.999
22:04:05:655,0.8521,0.0777,0.4811,0.994
22:04:05:657,0.8480,0.0784,0.4811,0.991
22:04:05:659,0.8465,0.0794,0.4816,0.990
22:04:05:662,0.8480,0.0796,0.4821,0.991
22:04:05:663,0.8497,0.0787,0.4823,0.993
22:04:05:665,0.8519,0.0784,0.4813,0.994
22:04:05:667,0.8546,0.0784,0.4806,0.996
22:04:05:670,0.8585,0.0772,0.4801,0.999
22:04:05:672,0.8629,0.0755,0.4796,1.002
22:04:05:673,0.8670,0.0738,0.4796,1.006
22:04:05:675,0.8702,0.0718,0.4808,1.009
22:04:05:678,0.8724,0.0696,0.4828,1.012
22:04:05:679,0.8739,0.0667,0.4850,1.014
22:04:05:682,0.8763,0.0645,0.4874,1.017
22:04:05:683,0.8785,0.0625,0.4901,1.020
22:04:05:686,0.8780,0.0594,0.4918,1.020
22:04:05:687,0.8775,0.0557,0.4923,1.019
22:04:05:689,0.8768,0.0528,0.4918,1.018
22:04:05:691,0.8761,0.0506,0.4926,1.018
22:04:05:693,0.8766,0.0484,0.4936,1.018
22:04:05:695,0.8783,0.0459,0.4950,1.020
22:04:05:697,0.8802,0.0440,0.4972,1.023
