time,gFx,gFy,gFz,TgF
21:51:14:706,0.8531,-0.0472,0.5693,1.034
21:51:14:708,0.8482,-0.0481,0.5710,1.031
21:51:14:709,0.8451,-0.0496,0.5737,1.030
21:51:14:709,0.8453,-0.0523,0.5791,1.034
21:51:14:710,0.8446,-0.0542,0.5839,1.036
21:51:14:711,0.8409,-0.0552,0.5827,1.032
21:51:14:711,0.8355,-0.0557,0.5774,1.025
21:51:14:721,0.8302,-0.0552,0.5708,1.017
21:51:14:723,0.8253,-0.0547,0.5659,1.010
21:51:14:723,0.8240,-0.0557,0.5664,1.009
21:51:14:724,0.8280,-0.0586,0.5703,1.014
21:51:14:725,0.8289,-0.0618,0.5710,1.016
21:51:14:726,0.8258,-0.0652,0.5644,1.009
21:51:14:726,0.8211,-0.0684,0.5527,0.999
21:51:14:727,0.8174,-0.0706,0.5402,0.989
21:51:14:728,0.8167,-0.0730,0.5312,0.983
21:51:14:729,0.8160,-0.0745,0.5253,0.979
21:51:14:730,0.8131,-0.0748,0.5187,0.973
21:51:14:738,0.8099,-0.0755,0.5133,0.968
21:51:14:739,0.8140,-0.0757,0.5136,0.971
21:51:14:740,0.8292,-0.0765,0.5243,0.990
21:51:14:741,0.8433,-0.0774,0.5363,1.008
21:51:14:741,0.8421,-0.0748,0.5366,1.007
21:51:14:743,0.8365,-0.0723,0.5314,1.000
21:51:14:754,0.8233,-0.0665,0.5165,0.980
21:51:14:755,0.8133,-0.0594,0.5004,0.963
21:51:14:756,0.8113,-0.0542,0.4904,0.956
21:51:14:757,0.8179,-0.0520,0.4921,0.963
21:51:14:757,0.8287,-0.0498,0.5033,0.978
21:51:14:758,0.8382,-0.0464,0.5197,0.995
21:51:14:759,0.8446,-0.0420,0.5375,1.010
21:51:14:760,0.8512,-0.0386,0.5556,1.025
21:51:14:761,0.8568,-0.0369,0.5717,1.039
21:51:14:762,0.8556,-0.0362,0.5830,1.044
21:51:14:764,0.8455,-0.0374,0.5864,1.038
21:51:14:771,0.8289,-0.0393,0.5835,1.023
21:51:14:773,0.8126,-0.0428,0.5791,1.007
21:51:14:773,0.8021,-0.0464,0.5776,0.998
21:51:14:774,0.8021,-0.0486,0.5827,1.001
21:51:14:776,0.8123,-0.0489,0.5925,1.015
21:51:14:777,0.8245,-0.0472,0.6003,1.029
21:51:14:792,0.8326,-0.0447,0.6040,1.038
21:51:14:794,0.8350,-0.0423,0.6025,1.039
21:51:14:795,0.8338,-0.0406,0.5971,1.035
21:51:14:795,0.8282,-0.0403,0.5910,1.027
21:51:14:796,0.8209,-0.0418,0.5839,1.017
21:51:14:797,0.8172,-0.0464,0.5771,1.010
