time,gFx,gFy,gFz,TgF
21:13:01:686,0.9833,0.0340,0.2529,1.022
21:13:01:688,0.9794,0.0357,0.2500,1.017
21:13:01:689,0.9797,0.0374,0.2510,1.018
21:13:01:690,0.9846,0.0379,0.2580,1.025
21:13:01:693,0.9885,0.0362,0.2685,1.031
21:13:01:694,0.9885,0.0342,0.2808,1.034
21:13:01:697,0.9860,0.0300,0.2952,1.036
21:13:01:698,0.9841,0.0220,0.3096,1.038
21:13:01:716,0.9736,0.0164,0.3223,1.032
21:13:01:718,0.9679,0.0144,0.3272,1.028
21:13:01:719,0.9697,0.0139,0.3233,1.028
21:13:01:719,0.9765,0.0107,0.3147,1.032
21:13:01:720,0.9880,0.0081,0.3057,1.040
21:13:01:721,0.9987,0.0061,0.2974,1.047
21:13:01:722,1.0087,0.0027,0.2881,1.054
21:13:01:723,1.0156,-0.0017,0.2776,1.057
21:13:01:723,1.0163,-0.0042,0.2707,1.056
21:13:01:724,1.0117,-0.0037,0.2700,1.051
21:13:01:725,1.0048,-0.0017,0.2732,1.046
21:13:01:726,0.9990,-0.0002,0.2793,1.042
21:13:01:727,0.9863,0.0046,0.2893,1.033
21:13:01:728,0.9286,0.0215,0.3015,0.983
21:13:01:728,0.8966,0.0332,0.3067,0.956
21:13:01:731,0.8854,0.0535,0.3098,0.948
21:13:01:733,0.9359,0.0513,0.2849,0.987
21:13:01:748,0.9929,0.0203,0.2280,1.024
21:13:01:749,1.0170,-0.0173,0.1679,1.033
21:13:01:750,1.0092,-0.0388,0.1298,1.018
21:13:01:751,1.0039,-0.0391,0.1188,1.012
21:13:01:752,1.0136,-0.0261,0.1305,1.023
21:13:01:753,1.0227,-0.0081,0.1608,1.037
21:13:01:754,1.0058,0.0159,0.2062,1.031
21:13:01:754,0.9635,0.0450,0.2590,1.005
21:13:01:755,0.9442,0.0647,0.2891,0.998
21:13:01:756,0.9547,0.0545,0.2673,1.000
21:13:01:757,0.9750,0.0169,0.2119,1.002
21:13:01:757,0.9880,-0.0264,0.1623,1.003
21:13:01:758,0.9875,-0.0535,0.1410,0.999
21:13:01:761,0.9855,-0.0630,0.1432,0.997
21:13:01:762,0.9877,-0.0606,0.1593,1.002
21:13:01:764,0.9921,-0.0533,0.1796,1.010
21:13:01:771,0.9936,-0.0428,0.1999,1.016
21:13:01:772,0.9912,-0.0305,0.2194,1.018
21:13:01:773,0.9902,-0.0222,0.2358,1.021
21:13:01:774,0.9899,-0.0195,0.2436,1.023
21:13:01:775,0.9909,-0.0244,0.2412,1.023
21:13:01:776,0.9904,-0.0327,0.2365,1.021
21:13:01:778,0.9899,-0.0420,0.2326,1.020
21:13:01:780,0.9870,-0.0476,0.2297,1.016
21:13:01:782,0.9824,-0.0506,0.2265,1.011
21:13:01:785,0.9799,-0.0506,0.2219,1.007
21:13:01:786,0.9828,-0.0454,0.2116,1.008
21:13:01:788,0.9902,-0.0410,0.2016,1.013
21:13:01:790,0.9955,-0.0357,0.1913,1.016
21:13:01:792,0.9948,-0.0298,0.1762,1.012
21:13:01:794,0.9890,-0.0227,0.1567,1.003
21:13:01:796,0.9824,-0.0156,0.1337,0.993
21:13:01:798,0.9772,-0.0105,0.1105,0.985
21:13:01:800,0.9733,-0.0059,0.0870,0.978
21:13:01:802,0.9738,-0.0015,0.0646,0.977
21:13:01:804,0.9745,0.0002,0.0550,0.977
21:13:01:806,0.9758,0.0032,0.0445,0.977
21:13:01:808,0.9782,0.0110,0.0294,0.979
21:13:01:810,0.9799,0.0230,0.0123,0.981
21:13:01:812,0.9814,0.0315,-0.0105,0.983
21:13:01:814,0.9821,0.0349,-0.0410,0.984
21:13:01:816,0.9814,0.0347,-0.0740,0.985
21:13:01:818,0.9794,0.0340,-0.0979,0.984
21:13:01:820,0.9767,0.0357,-0.1092,0.983
21:13:01:822,0.9721,0.0384,-0.1072,0.978
21:13:01:824,0.9655,0.0418,-0.0977,0.971
21:13:01:826,0.9587,0.0462,-0.0840,0.964
21:13:01:828,0.9474,0.0540,-0.0676,0.953
21:13:01:830,0.9286,0.0640,-0.0512,0.934
21:13:01:833,0.9110,0.0718,-0.0410,0.918
21:13:01:835,0.8983,0.0752,-0.0417,0.905
21:13:01:836,0.8876,0.0708,-0.0383,0.894
21:13:01:838,0.8778,0.0672,-0.0305,0.884
21:13:01:840,0.8780,0.0723,-0.0464,0.885
21:13:01:842,0.8834,0.0787,-0.0649,0.892
21:13:01:844,0.8841,0.0831,-0.0823,0.895
21:13:01:846,0.8790,0.0858,-0.1052,0.892
21:13:01:848,0.8707,0.0880,-0.1341,0.887
21:13:01:851,0.8495,0.0953,-0.1607,0.872
21:13:01:852,0.8260,0.1085,-0.1776,0.854
21:13:01:854,0.8231,0.1229,-0.1868,0.856
21:13:01:856,0.8324,0.1317,-0.1988,0.869
21:13:01:858,0.8421,0.1285,-0.2206,0.882
21:13:01:860,0.8485,0.1168,-0.2523,0.894
21:13:01:862,0.8524,0.1031,-0.2851,0.904
21:13:01:864,0.8626,0.0916,-0.3124,0.921
21:13:01:866,0.8832,0.0850,-0.3302,0.945
21:13:01:868,0.9047,0.0806,-0.3383,0.967
21:13:01:870,0.9135,0.0784,-0.3383,0.975
21:13:01:872,0.9274,0.0740,-0.3322,0.985
21:13:01:874,0.9367,0.0682,-0.3254,0.991
21:13:01:876,0.9433,0.0606,-0.3219,0.995
21:13:01:878,0.9477,0.0540,-0.3197,0.998
21:13:01:880,0.9506,0.0518,-0.3190,1.000
21:13:01:882,0.9533,0.0511,-0.3185,1.003
21:13:01:884,0.9577,0.0486,-0.3224,1.008
21:13:01:886,0.9613,0.0440,-0.3329,1.014
21:13:01:888,0.9662,0.0384,-0.3478,1.023
21:13:01:890,0.9714,0.0315,-0.3627,1.032
21:13:01:892,0.9777,0.0249,-0.3752,1.042
21:13:01:894,0.9848,0.0195,-0.3811,1.050
21:13:01:896,0.9899,0.0156,-0.3801,1.054
21:13:01:898,0.9921,0.0142,-0.3779,1.056
21:13:01:903,0.9931,0.0169,-0.3774,1.056
21:13:01:905,0.9921,0.0232,-0.3816,1.057
21:13:01:906,0.9897,0.0293,-0.3864,1.057
21:13:01:907,0.9894,0.0340,-0.3901,1.059
21:13:01:908,0.9885,0.0381,-0.3906,1.058
21:13:01:910,0.9841,0.0420,-0.3872,1.053
21:13:01:912,0.9787,0.0476,-0.3825,1.047
21:13:01:914,0.9738,0.0515,-0.3772,1.041
21:13:01:916,0.9719,0.0557,-0.3730,1.038
21:13:01:918,0.9714,0.0599,-0.3693,1.037
21:13:01:920,0.9682,0.0638,-0.3645,1.033
21:13:01:922,0.9650,0.0689,-0.3591,1.029
21:13:01:924,0.9621,0.0735,-0.3520,1.024
21:13:01:926,0.9589,0.0774,-0.3432,1.019
21:13:01:928,0.9533,0.0794,-0.3293,1.009
21:13:01:930,0.9467,0.0799,-0.3124,0.998
21:13:01:931,0.9379,0.0796,-0.2965,0.985
21:13:01:934,0.9254,0.0784,-0.2865,0.970
21:13:01:936,0.9137,0.0762,-0.2838,0.958
21:13:01:938,0.9056,0.0762,-0.2848,0.951
21:13:01:940,0.8993,0.0767,-0.2846,0.945
21:13:01:942,0.8949,0.0755,-0.2838,0.940
21:13:01:944,0.8925,0.0740,-0.2836,0.938
21:13:01:946,0.8934,0.0718,-0.2843,0.938
21:13:01:948,0.8951,0.0708,-0.2841,0.940
