time,gFx,gFy,gFz,TgF
21:31:45:514,0.9105,0.0762,0.3006,0.971
21:31:45:516,0.9115,0.0762,0.3059,0.974
21:31:45:518,0.9137,0.0762,0.3118,0.978
21:31:45:522,0.9164,0.0765,0.3169,0.982
21:31:45:523,0.9191,0.0774,0.3208,0.986
21:31:45:524,0.9191,0.0787,0.3233,0.987
21:31:45:526,0.9183,0.0799,0.3262,0.988
21:31:45:528,0.9191,0.0799,0.3306,0.990
21:31:45:530,0.9201,0.0809,0.3352,0.993
21:31:45:532,0.9205,0.0826,0.3379,0.994
21:31:45:534,0.9210,0.0840,0.3411,0.996
21:31:45:536,0.9225,0.0858,0.3450,0.999
21:31:45:540,0.9249,0.0877,0.3475,1.002
21:31:45:542,0.9291,0.0904,0.3482,1.007
21:31:45:542,0.9311,0.0958,0.3489,1.010
21:31:45:544,0.9318,0.1004,0.3504,1.012
21:31:45:546,0.9325,0.1053,0.3521,1.014
21:31:45:548,0.9315,0.1104,0.3531,1.014
21:31:45:550,0.9335,0.1143,0.3531,1.016
21:31:45:552,0.9389,0.1173,0.3528,1.022
21:31:45:568,0.9438,0.1202,0.3533,1.027
21:31:45:569,0.9452,0.1217,0.3533,1.028
21:31:45:570,0.9460,0.1258,0.3521,1.029
21:31:45:570,0.9472,0.1297,0.3499,1.030
21:31:45:571,0.9516,0.1339,0.3484,1.034
21:31:45:573,0.9562,0.1373,0.3489,1.040
21:31:45:574,0.9587,0.1407,0.3489,1.042
21:31:45:575,0.9640,0.1439,0.3497,1.048
21:31:45:575,0.9750,0.1466,0.3501,1.059
21:31:45:576,0.9899,0.1478,0.3494,1.073
21:31:45:577,1.0041,0.1480,0.3472,1.085
21:31:45:579,1.0114,0.1485,0.3435,1.091
21:31:45:580,1.0119,0.1495,0.3377,1.089
21:31:45:581,1.0061,0.1505,0.3328,1.082
21:31:45:582,0.9955,0.1507,0.3318,1.072
21:31:45:586,0.9838,0.1505,0.3350,1.063
21:31:45:588,0.9714,0.1502,0.3392,1.052
21:31:45:589,0.9584,0.1461,0.3340,1.038
21:31:45:592,0.9467,0.1405,0.3233,1.022
21:31:45:594,0.9406,0.1336,0.3167,1.013
21:31:45:595,0.9381,0.1268,0.3123,1.008
21:31:45:603,0.9364,0.1207,0.3079,1.004
21:31:45:604,0.9347,0.1138,0.3013,1.000
21:31:45:605,0.9318,0.1068,0.2947,0.994
