time,gFx,gFy,gFz,TgF
21:39:56:758,0.4708,-0.0814,-0.8479,0.954
21:39:56:759,0.4642,-0.0804,-0.8367,0.941
21:39:56:760,0.4600,-0.0801,-0.8267,0.930
21:39:56:761,0.4595,-0.0804,-0.8179,0.922
21:39:56:762,0.4605,-0.0804,-0.8091,0.915
21:39:56:764,0.4617,-0.0799,-0.8037,0.911
21:39:56:765,0.4649,-0.0777,-0.7795,0.892
21:39:56:766,0.4788,-0.0699,-0.7265,0.854
21:39:56:766,0.4935,-0.0572,-0.6576,0.807
21:39:56:767,0.5184,-0.0381,-0.5103,0.714
21:39:56:768,0.6069,-0.0261,-0.2166,0.637
21:39:56:769,0.7200,-0.0435,0.0191,0.719
21:39:56:775,0.7520,-0.0713,0.0587,0.755
21:39:56:777,0.8280,-0.0936,0.2180,0.861
21:39:56:778,0.9381,-0.1266,0.3897,1.024
21:39:56:779,0.8482,-0.1603,0.3282,0.921
21:39:56:780,0.6032,-0.1871,0.0846,0.626
21:39:56:780,0.5270,-0.2081,-0.0679,0.551
21:39:56:787,0.6350,-0.2243,-0.0534,0.658
21:39:56:789,0.7947,-0.2355,0.0453,0.817
21:39:56:789,0.9071,-0.2411,0.1286,0.937
21:39:56:791,0.9254,-0.2414,0.1552,0.959
21:39:56:793,0.8736,-0.2392,0.1330,0.905
21:39:56:794,0.8253,-0.2375,0.0924,0.852
21:39:56:796,0.7705,-0.2345,0.0404,0.793
21:39:56:797,0.6794,-0.2262,-0.0124,0.701
21:39:56:799,0.5695,-0.2155,-0.0588,0.593
21:39:56:805,0.4659,-0.2045,-0.0986,0.496
21:39:56:807,0.3775,-0.1935,-0.1306,0.418
21:39:56:807,0.2998,-0.1842,-0.1746,0.363
21:39:56:808,0.2282,-0.1764,-0.2516,0.349
21:39:56:809,0.1642,-0.1720,-0.3334,0.375
21:39:56:811,0.1046,-0.1683,-0.3957,0.409
21:39:56:813,0.0213,-0.1546,-0.5812,0.573
21:39:56:817,-0.1124,-0.1295,-1.1438,1.134
21:39:56:818,-0.2360,-0.1251,-2.0279,2.025
21:39:56:819,-0.2595,-0.1610,-2.7073,2.704
21:39:56:824,-0.2047,-0.1920,-2.8466,2.839
21:39:56:825,-0.1735,-0.1859,-2.7696,2.760
