time,gFx,gFy,gFz,TgF
22:06:02:567,0.8077,0.0164,0.5683,0.999
22:06:02:568,0.8047,0.0156,0.5710,0.998
22:06:02:569,0.8033,0.0149,0.5715,0.997
22:06:02:570,0.8038,0.0139,0.5708,0.997
22:06:02:570,0.8060,0.0127,0.5703,0.998
22:06:02:571,0.8096,0.0105,0.5693,1.001
22:06:02:572,0.8135,0.0078,0.5666,1.002
22:06:02:573,0.8155,0.0068,0.5646,1.003
22:06:02:574,0.8192,0.0051,0.5617,1.004
22:06:02:574,0.8243,0.0027,0.5598,1.007
22:06:02:575,0.8299,0.0005,0.5568,1.009
22:06:02:582,0.8363,-0.0012,0.5527,1.012
22:06:02:583,0.8431,-0.0029,0.5485,1.016
22:06:02:584,0.8504,-0.0054,0.5436,1.019
22:06:02:584,0.8565,-0.0090,0.5400,1.022
22:06:02:585,0.8631,-0.0120,0.5392,1.027
22:06:02:587,0.8707,-0.0147,0.5407,1.034
22:06:02:595,0.8756,-0.0164,0.5422,1.039
22:06:02:596,0.8783,-0.0181,0.5392,1.039
22:06:02:597,0.8810,-0.0191,0.5329,1.038
22:06:02:598,0.8834,-0.0205,0.5256,1.036
22:06:02:598,0.8859,-0.0222,0.5173,1.034
22:06:02:599,0.8871,-0.0235,0.5087,1.031
22:06:02:604,0.8871,-0.0252,0.4999,1.026
22:06:02:605,0.8871,-0.0269,0.4918,1.022
22:06:02:606,0.8851,-0.0286,0.4845,1.017
22:06:02:606,0.8834,-0.0303,0.4787,1.012
22:06:02:608,0.8829,-0.0310,0.4757,1.010
22:06:02:610,0.8817,-0.0315,0.4765,1.010
22:06:02:615,0.8800,-0.0313,0.4796,1.010
22:06:02:616,0.8780,-0.0310,0.4865,1.011
22:06:02:617,0.8761,-0.0305,0.4933,1.013
22:06:02:618,0.8732,-0.0293,0.4989,1.014
22:06:02:620,0.8705,-0.0281,0.5026,1.013
22:06:02:622,0.8692,-0.0259,0.5045,1.013
22:06:02:624,0.8668,-0.0242,0.5065,1.012
22:06:02:627,0.8634,-0.0225,0.5087,1.010
22:06:02:628,0.8602,-0.0200,0.5111,1.009
22:06:02:632,0.8580,-0.0169,0.5151,1.009
22:06:02:633,0.8560,-0.0144,0.5180,1.009
22:06:02:634,0.8543,-0.0117,0.5209,1.009
22:06:02:636,0.8546,-0.0093,0.5246,1.012
22:06:02:638,0.8543,-0.0066,0.5268,1.013
22:06:02:640,0.8524,-0.0049,0.5275,1.012
22:06:02:642,0.8509,-0.0044,0.5278,1.011
22:06:02:644,0.8473,-0.0039,0.5280,1.008
22:06:02:648,0.8446,-0.0032,0.5282,1.006
22:06:02:649,0.8443,-0.0024,0.5280,1.005
22:06:02:650,0.8441,-0.0022,0.5270,1.005
22:06:02:652,0.8448,-0.0032,0.5253,1.004
22:06:02:654,0.8470,-0.0049,0.5234,1.005
22:06:02:656,0.8490,-0.0061,0.5204,1.005
22:06:02:658,0.8529,-0.0068,0.5180,1.007
22:06:02:660,0.8578,-0.0066,0.5177,1.011
22:06:02:664,0.8607,-0.0071,0.5177,1.013
22:06:02:666,0.8622,-0.0081,0.5170,1.014
22:06:02:667,0.8636,-0.0086,0.5163,1.015
22:06:02:668,0.8641,-0.0093,0.5165,1.016
22:06:02:670,0.8644,-0.0105,0.5158,1.015
22:06:02:673,0.8651,-0.0110,0.5146,1.015
22:06:02:674,0.8656,-0.0107,0.5151,1.016
22:06:02:676,0.8648,-0.0115,0.5151,1.015
22:06:02:678,0.8626,-0.0117,0.5143,1.013
22:06:02:684,0.8619,-0.0112,0.5151,1.013
22:06:02:685,0.8609,-0.0100,0.5177,1.013
22:06:02:686,0.8580,-0.0103,0.5199,1.012
22:06:02:687,0.8543,-0.0115,0.5194,1.009
22:06:02:688,0.8519,-0.0117,0.5202,1.007
22:06:02:690,0.8499,-0.0112,0.5212,1.006
22:06:02:692,0.8495,-0.0100,0.5216,1.006
22:06:02:695,0.8495,-0.0093,0.5229,1.007
22:06:02:696,0.8492,-0.0098,0.5236,1.007
