time,gFx,gFy,gFz,TgF
21:08:32:595,0.9894,-0.0557,0.1950,1.011
21:08:32:596,0.9728,-0.0486,0.1764,0.990
21:08:32:599,0.9601,-0.0406,0.1606,0.975
21:08:32:601,0.9511,-0.0310,0.1457,0.964
21:08:32:603,0.9474,-0.0215,0.1322,0.958
21:08:32:605,0.9479,-0.0132,0.1198,0.957
21:08:32:607,0.9496,-0.0078,0.1110,0.958
21:08:32:609,0.9508,-0.0034,0.1073,0.958
21:08:32:610,0.9518,0.0000,0.1083,0.960
21:08:32:612,0.9535,0.0039,0.1132,0.962
21:08:32:613,0.9550,0.0073,0.1207,0.965
21:08:32:615,0.9572,0.0081,0.1281,0.968
21:08:32:616,0.9587,0.0086,0.1339,0.971
21:08:32:618,0.9599,0.0088,0.1376,0.972
21:08:32:619,0.9621,0.0078,0.1391,0.975
21:08:32:621,0.9655,0.0073,0.1388,0.978
21:08:32:623,0.9709,0.0054,0.1371,0.983
21:08:32:625,0.9765,0.0034,0.1337,0.988
21:08:32:626,0.9824,0.0017,0.1283,0.993
21:08:32:627,0.9929,-0.0024,0.1215,1.002
21:08:32:629,1.0017,-0.0083,0.1159,1.010
21:08:32:630,1.0097,-0.0149,0.1139,1.017
21:08:32:631,1.0170,-0.0210,0.1117,1.024
21:08:32:632,1.0234,-0.0261,0.1090,1.030
21:08:32:634,1.0261,-0.0281,0.1080,1.032
21:08:32:636,1.0290,-0.0330,0.1061,1.035
21:08:32:637,1.0283,-0.0364,0.1046,1.034
21:08:32:638,1.0293,-0.0376,0.1032,1.035
21:08:32:640,1.0319,-0.0381,0.1032,1.037
21:08:32:641,1.0315,-0.0396,0.1032,1.037
21:08:32:642,1.0276,-0.0413,0.1027,1.033
21:08:32:642,1.0236,-0.0418,0.1007,1.029
21:08:32:642,1.0224,-0.0401,0.0980,1.027
21:08:32:643,1.0239,-0.0388,0.0956,1.029
21:08:32:643,1.0246,-0.0388,0.0926,1.029
21:08:32:650,1.0219,-0.0384,0.0885,1.026
21:08:32:651,1.0161,-0.0371,0.0853,1.020
21:08:32:652,1.0097,-0.0349,0.0846,1.013
21:08:32:652,1.0029,-0.0327,0.0856,1.007
21:08:32:653,0.9968,-0.0300,0.0880,1.001
21:08:32:657,0.9909,-0.0286,0.0946,0.996
21:08:32:658,0.9841,-0.0264,0.1034,0.990
21:08:32:659,0.9787,-0.0239,0.1107,0.986
21:08:32:665,0.9743,-0.0215,0.1154,0.982
21:08:32:666,0.9704,-0.0205,0.1173,0.979
21:08:32:667,0.9672,-0.0195,0.1185,0.976
21:08:32:667,0.9648,-0.0173,0.1207,0.974
21:08:32:668,0.9631,-0.0159,0.1234,0.972
21:08:32:674,0.9621,-0.0156,0.1249,0.972
21:08:32:675,0.9635,-0.0147,0.1227,0.973
21:08:32:676,0.9711,-0.0132,0.1151,0.979
21:08:32:676,0.9782,-0.0127,0.1051,0.985
21:08:32:678,0.9828,-0.0154,0.0968,0.988
21:08:32:680,0.9826,-0.0186,0.0951,0.988
21:08:32:682,0.9787,-0.0183,0.0973,0.984
21:08:32:685,0.9740,-0.0181,0.0997,0.980
21:08:32:689,0.9709,-0.0173,0.1014,0.977
21:08:32:690,0.9714,-0.0156,0.1024,0.978
21:08:32:691,0.9733,-0.0134,0.1027,0.980
21:08:32:694,0.9770,-0.0120,0.1022,0.983
21:08:32:695,0.9797,-0.0117,0.1017,0.986
21:08:32:697,0.9860,-0.0125,0.1005,0.992
21:08:32:698,0.9892,-0.0154,0.0973,0.995
21:08:32:701,0.9872,-0.0156,0.0958,0.993
21:08:32:703,0.9836,-0.0127,0.1032,0.990
21:08:32:706,0.9831,-0.0107,0.1132,0.991
21:08:32:707,0.9850,-0.0125,0.1203,0.994
21:08:32:708,0.9865,-0.0161,0.1229,0.995
21:08:32:711,0.9821,-0.0181,0.1200,0.991
21:08:32:713,0.9770,-0.0183,0.1127,0.984
21:08:32:715,0.9745,-0.0156,0.1073,0.981
21:08:32:716,0.9753,-0.0110,0.1056,0.982
21:08:32:718,0.9772,-0.0090,0.1049,0.984
21:08:32:722,0.9794,-0.0110,0.1044,0.986
21:08:32:724,0.9860,-0.0139,0.1036,0.992
21:08:32:725,0.9973,-0.0156,0.1022,1.003
21:08:32:727,1.0068,-0.0178,0.1010,1.013
21:08:32:729,1.0090,-0.0198,0.0988,1.014
21:08:32:731,1.0068,-0.0200,0.0963,1.012
21:08:32:733,1.0043,-0.0195,0.0953,1.009
21:08:32:734,1.0048,-0.0198,0.0951,1.010
21:08:32:736,1.0061,-0.0213,0.0963,1.011
21:08:32:741,1.0068,-0.0230,0.0975,1.012
21:08:32:743,1.0090,-0.0242,0.0980,1.014
21:08:32:744,1.0124,-0.0249,0.0985,1.018
21:08:32:745,1.0161,-0.0257,0.0988,1.021
21:08:32:747,1.0183,-0.0257,0.0990,1.024
21:08:32:749,1.0207,-0.0254,0.0990,1.026
21:08:32:750,1.0246,-0.0249,0.0995,1.030
21:08:32:752,1.0322,-0.0227,0.1014,1.038
21:08:32:756,1.0390,-0.0217,0.1080,1.045
21:08:32:757,1.0349,-0.0232,0.1137,1.042
21:08:32:759,1.0151,-0.0237,0.1168,1.023
21:08:32:761,0.9875,-0.0208,0.1181,0.996
21:08:32:763,0.9692,-0.0149,0.1154,0.977
21:08:32:765,0.9665,-0.0110,0.1115,0.974
21:08:32:766,0.9772,-0.0125,0.1088,0.984
21:08:32:768,0.9926,-0.0198,0.1061,0.999
21:08:32:770,1.0021,-0.0271,0.1032,1.008
