time,gFx,gFy,gFz,TgF
22:01:52:204,0.8392,0.0112,0.4906,0.982
22:01:52:205,0.8358,0.0173,0.4921,0.980
22:01:52:207,0.8346,0.0217,0.4938,0.980
22:01:52:207,0.8360,0.0237,0.4950,0.982
22:01:52:208,0.8402,0.0242,0.4958,0.986
22:01:52:209,0.8460,0.0235,0.4953,0.991
22:01:52:210,0.8526,0.0222,0.4928,0.995
22:01:52:211,0.8597,0.0193,0.4894,0.999
22:01:52:212,0.8663,0.0149,0.4860,1.003
22:01:52:212,0.8722,0.0100,0.4835,1.006
22:01:52:213,0.8753,0.0066,0.4813,1.008
22:01:52:217,0.8746,0.0027,0.4777,1.005
22:01:52:218,0.8751,-0.0002,0.4769,1.005
22:01:52:219,0.8785,-0.0044,0.4835,1.011
22:01:52:221,0.8822,-0.0105,0.4955,1.020
22:01:52:231,0.8859,-0.0171,0.5107,1.031
22:01:52:232,0.8878,-0.0203,0.5187,1.037
22:01:52:233,0.8927,-0.0269,0.5353,1.049
22:01:52:234,0.8993,-0.0330,0.5483,1.062
22:01:52:235,0.9066,-0.0388,0.5527,1.070
22:01:52:235,0.9122,-0.0440,0.5461,1.071
22:01:52:244,0.9137,-0.0472,0.5358,1.067
22:01:52:245,0.9122,-0.0489,0.5275,1.062
22:01:52:246,0.9105,-0.0493,0.5221,1.057
22:01:52:246,0.9088,-0.0486,0.5185,1.054
22:01:52:247,0.9071,-0.0467,0.5158,1.051
22:01:52:247,0.9047,-0.0454,0.5148,1.049
22:01:52:248,0.9025,-0.0454,0.5143,1.046
22:01:52:249,0.8988,-0.0440,0.5131,1.043
22:01:52:251,0.8944,-0.0413,0.5102,1.037
22:01:52:253,0.8910,-0.0388,0.5067,1.033
22:01:52:255,0.8888,-0.0386,0.5031,1.029
22:01:52:260,0.8866,-0.0386,0.4989,1.025
22:01:52:261,0.8849,-0.0366,0.4955,1.022
22:01:52:262,0.8832,-0.0349,0.4955,1.020
22:01:52:263,0.8815,-0.0327,0.4967,1.020
22:01:52:265,0.8797,-0.0303,0.4980,1.019
22:01:52:267,0.8788,-0.0269,0.4984,1.018
22:01:52:269,0.8771,-0.0232,0.4992,1.017
22:01:52:271,0.8753,-0.0193,0.4997,1.016
22:01:52:274,0.8734,-0.0151,0.4999,1.015
22:01:52:275,0.8702,-0.0100,0.4980,1.011
22:01:52:277,0.8670,-0.0056,0.4945,1.007
22:01:52:279,0.8646,-0.0020,0.4923,1.004
22:01:52:281,0.8624,0.0005,0.4901,1.001
22:01:52:283,0.8604,0.0034,0.4879,0.998
22:01:52:285,0.8575,0.0054,0.4855,0.995
22:01:52:291,0.8556,0.0061,0.4838,0.992
22:01:52:293,0.8548,0.0068,0.4830,0.991
22:01:52:294,0.8553,0.0071,0.4833,0.992
22:01:52:295,0.8560,0.0064,0.4852,0.993
22:01:52:296,0.8575,0.0056,0.4879,0.996
22:01:52:299,0.8592,0.0044,0.4901,0.998
22:01:52:300,0.8600,0.0037,0.4916,1.000
22:01:52:301,0.8617,0.0017,0.4928,1.002
22:01:52:303,0.8641,0.0002,0.4914,1.003
22:01:52:306,0.8668,-0.0024,0.4909,1.005
22:01:52:307,0.8692,-0.0054,0.4909,1.007
22:01:52:310,0.8712,-0.0088,0.4899,1.008
22:01:52:311,0.8727,-0.0122,0.4894,1.009
22:01:52:313,0.8744,-0.0149,0.4899,1.010
22:01:52:315,0.8751,-0.0178,0.4918,1.012
22:01:52:317,0.8756,-0.0205,0.4950,1.014
22:01:52:319,0.8746,-0.0222,0.4987,1.015
22:01:52:321,0.8736,-0.0230,0.5014,1.015
22:01:52:323,0.8732,-0.0232,0.5028,1.016
22:01:52:325,0.8719,-0.0235,0.5026,1.015
22:01:52:327,0.8707,-0.0232,0.5001,1.012
22:01:52:329,0.8710,-0.0225,0.4970,1.011
22:01:52:331,0.8724,-0.0208,0.4943,1.011
22:01:52:333,0.8746,-0.0195,0.4923,1.012
22:01:52:334,0.8749,-0.0191,0.4909,1.011
22:01:52:337,0.8746,-0.0188,0.4892,1.010
22:01:52:342,0.8758,-0.0181,0.4882,1.011
22:01:52:343,0.8761,-0.0169,0.4879,1.011
22:01:52:343,0.8763,-0.0166,0.4872,1.011
22:01:52:344,0.8775,-0.0173,0.4884,1.012
22:01:52:346,0.8790,-0.0181,0.4906,1.015
22:01:52:349,0.8793,-0.0183,0.4928,1.016
22:01:52:350,0.8788,-0.0183,0.4928,1.016
22:01:52:352,0.8793,-0.0188,0.4928,1.016
22:01:52:355,0.8824,-0.0195,0.4940,1.019
22:01:52:357,0.8854,-0.0203,0.4955,1.023
22:01:52:358,0.8866,-0.0208,0.4962,1.024
22:01:52:361,0.8881,-0.0208,0.4958,1.025
22:01:52:363,0.8888,-0.0205,0.4950,1.025
22:01:52:365,0.8893,-0.0200,0.4945,1.025
22:01:52:366,0.8890,-0.0188,0.4940,1.025
22:01:52:370,0.8885,-0.0164,0.4936,1.024
22:01:52:384,0.8873,-0.0144,0.4928,1.023
22:01:52:386,0.8866,-0.0134,0.4928,1.022
22:01:52:387,0.8839,-0.0115,0.4923,1.020
22:01:52:388,0.8810,-0.0095,0.4936,1.018
22:01:52:389,0.8788,-0.0088,0.4958,1.017
22:01:52:389,0.8775,-0.0086,0.4965,1.017
22:01:52:390,0.8761,-0.0090,0.4984,1.016
22:01:52:391,0.8751,-0.0100,0.5014,1.017
22:01:52:391,0.8756,-0.0112,0.5031,1.018
22:01:52:392,0.8768,-0.0134,0.5033,1.019
22:01:52:393,0.8778,-0.0154,0.5021,1.020
22:01:52:394,0.8788,-0.0171,0.5009,1.020
22:01:52:405,0.8797,-0.0178,0.4997,1.020
22:01:52:407,0.8795,-0.0186,0.4980,1.019
22:01:52:408,0.8788,-0.0193,0.4960,1.017
22:01:52:409,0.8771,-0.0193,0.4945,1.015
22:01:52:409,0.8756,-0.0188,0.4933,1.013
22:01:52:410,0.8744,-0.0178,0.4931,1.012
