time,gFx,gFy,gFz,TgF
21:35:52:573,0.5932,-0.0787,-0.7644,0.953
21:35:52:575,0.5959,-0.0792,-0.7529,0.945
21:35:52:576,0.5983,-0.0792,-0.7463,0.942
21:35:52:577,0.6029,-0.0796,-0.7441,0.943
21:35:52:578,0.6076,-0.0814,-0.7448,0.947
21:35:52:579,0.6120,-0.0821,-0.7473,0.951
21:35:52:579,0.6110,-0.0804,-0.7527,0.955
21:35:52:580,0.6061,-0.0787,-0.7622,0.959
21:35:52:581,0.6015,-0.0777,-0.7720,0.964
21:35:52:582,0.6000,-0.0782,-0.7785,0.968
21:35:52:583,0.6005,-0.0794,-0.7812,0.970
21:35:52:583,0.5964,-0.0799,-0.7854,0.971
21:35:52:587,0.5907,-0.0787,-0.7925,0.973
21:35:52:589,0.5895,-0.0774,-0.7979,0.977
21:35:52:590,0.5917,-0.0777,-0.8000,0.980
21:35:52:591,0.5944,-0.0772,-0.8015,0.983
21:35:52:593,0.5951,-0.0762,-0.8032,0.984
21:35:52:594,0.5971,-0.0755,-0.8047,0.987
21:35:52:596,0.5990,-0.0752,-0.8047,0.988
21:35:52:598,0.6000,-0.0757,-0.8037,0.988
21:35:52:601,0.6020,-0.0765,-0.8042,0.989
21:35:52:621,0.6042,-0.0777,-0.8066,0.993
21:35:52:622,0.6051,-0.0789,-0.8091,0.995
21:35:52:623,0.6037,-0.0782,-0.8113,0.996
21:35:52:623,0.6007,-0.0772,-0.8132,0.996
21:35:52:624,0.5995,-0.0777,-0.8128,0.995
21:35:52:624,0.5998,-0.0779,-0.8115,0.994
21:35:52:625,0.5998,-0.0777,-0.8115,0.994
21:35:52:626,0.5983,-0.0770,-0.8125,0.994
21:35:52:626,0.5966,-0.0767,-0.8118,0.992
21:35:52:627,0.5951,-0.0777,-0.8106,0.990
21:35:52:627,0.5939,-0.0792,-0.8081,0.988
21:35:52:628,0.5949,-0.0816,-0.8025,0.984
21:35:52:628,0.5956,-0.0838,-0.7971,0.980
21:35:52:629,0.5973,-0.0848,-0.7910,0.976
21:35:52:630,0.5993,-0.0850,-0.7849,0.973
21:35:52:634,0.6003,-0.0845,-0.7805,0.970
21:35:52:635,0.6037,-0.0872,-0.7771,0.969
21:35:52:643,0.6071,-0.0911,-0.7754,0.970
21:35:52:645,0.6069,-0.0926,-0.7756,0.970
21:35:52:646,0.6039,-0.0923,-0.7764,0.969
21:35:52:647,0.6017,-0.0909,-0.7749,0.967
21:35:52:648,0.6037,-0.0909,-0.7702,0.964
21:35:52:649,0.6056,-0.0916,-0.7661,0.962
21:35:52:650,0.6083,-0.0926,-0.7641,0.962
21:35:52:651,0.6105,-0.0931,-0.7634,0.963
21:35:52:653,0.6093,-0.0938,-0.7590,0.959
21:35:52:656,0.6081,-0.0958,-0.7551,0.955
21:35:52:658,0.6122,-0.0980,-0.7544,0.958
21:35:52:659,0.6230,-0.0997,-0.7519,0.963
21:35:52:661,0.6271,-0.1011,-0.7597,0.971
21:35:52:663,0.6213,-0.1002,-0.7800,0.983
21:35:52:664,0.6196,-0.0975,-0.7944,0.993
21:35:52:667,0.6237,-0.0977,-0.8000,1.000
21:35:52:669,0.6262,-0.0989,-0.8030,1.004
21:35:52:671,0.6247,-0.0987,-0.8049,1.005
21:35:52:685,0.6227,-0.0985,-0.8052,1.004
21:35:52:687,0.6186,-0.0985,-0.8020,0.999
21:35:52:689,0.6130,-0.0985,-0.7979,0.992
21:35:52:690,0.6047,-0.0980,-0.7947,0.984
21:35:52:691,0.5978,-0.0955,-0.7937,0.979
21:35:52:692,0.5978,-0.0926,-0.7939,0.979
21:35:52:694,0.6017,-0.0880,-0.7964,0.983
21:35:52:695,0.6066,-0.0831,-0.8010,0.990
21:35:52:696,0.6108,-0.0799,-0.8062,0.996
21:35:52:697,0.6120,-0.0762,-0.8118,1.001
21:35:52:698,0.6130,-0.0740,-0.8196,1.008
21:35:52:699,0.6127,-0.0738,-0.8294,1.016
21:35:52:700,0.6127,-0.0750,-0.8384,1.023
21:35:52:701,0.6135,-0.0752,-0.8426,1.027
21:35:52:703,0.6144,-0.0745,-0.8477,1.032
21:35:52:704,0.6130,-0.0728,-0.8487,1.031
21:35:52:706,0.6071,-0.0708,-0.8518,1.030
21:35:52:707,0.6042,-0.0708,-0.8597,1.035
21:35:52:724,0.6064,-0.0743,-0.8663,1.042
21:35:52:725,0.6095,-0.0750,-0.8614,1.040
21:35:52:726,0.6061,-0.0711,-0.8467,1.026
21:35:52:726,0.5971,-0.0650,-0.8333,1.009
21:35:52:727,0.5895,-0.0591,-0.8252,0.998
21:35:52:727,0.5871,-0.0559,-0.8203,0.993
21:35:52:728,0.5871,-0.0555,-0.8162,0.990
21:35:52:728,0.5868,-0.0579,-0.8128,0.987
21:35:52:729,0.5878,-0.0611,-0.8103,0.985
21:35:52:729,0.5893,-0.0633,-0.8057,0.983
21:35:52:730,0.5893,-0.0645,-0.7981,0.977
21:35:52:730,0.5871,-0.0657,-0.7913,0.970
21:35:52:733,0.5814,-0.0657,-0.7869,0.963
21:35:52:734,0.5749,-0.0662,-0.7842,0.957
21:35:52:737,0.5695,-0.0679,-0.7817,0.952
21:35:52:739,0.5670,-0.0716,-0.7771,0.947
21:35:52:740,0.5678,-0.0757,-0.7705,0.942
21:35:52:743,0.5719,-0.0796,-0.7661,0.941
21:35:52:744,0.5778,-0.0818,-0.7656,0.944
21:35:52:746,0.5824,-0.0833,-0.7698,0.950
21:35:52:749,0.5846,-0.0838,-0.7759,0.957
21:35:52:750,0.5858,-0.0853,-0.7825,0.963
21:35:52:753,0.5890,-0.0872,-0.7881,0.969
21:35:52:756,0.5910,-0.0904,-0.7930,0.974
21:35:52:758,0.5893,-0.0953,-0.7971,0.977
21:35:52:759,0.5868,-0.0999,-0.8018,0.979
21:35:52:760,0.5895,-0.1031,-0.8054,0.984
21:35:52:763,0.5944,-0.1036,-0.8071,0.988
21:35:52:765,0.5973,-0.1021,-0.8047,0.988
21:35:52:766,0.5998,-0.1009,-0.7981,0.984
21:35:52:769,0.6029,-0.1019,-0.7898,0.980
21:35:52:771,0.6034,-0.1029,-0.7825,0.974
21:35:52:773,0.6007,-0.1046,-0.7776,0.969
21:35:52:774,0.6007,-0.1053,-0.7761,0.968
21:35:52:777,0.6044,-0.1051,-0.7720,0.967
21:35:52:778,0.6095,-0.1038,-0.7668,0.966
21:35:52:781,0.6130,-0.1009,-0.7641,0.966
21:35:52:782,0.6157,-0.0965,-0.7639,0.967
21:35:52:785,0.6179,-0.0921,-0.7661,0.970
21:35:52:787,0.6198,-0.0867,-0.7676,0.972
21:35:52:789,0.6200,-0.0818,-0.7683,0.973
21:35:52:790,0.6183,-0.0772,-0.7705,0.973
21:35:52:793,0.6159,-0.0723,-0.7712,0.972
21:35:52:794,0.6130,-0.0694,-0.7705,0.969
21:35:52:797,0.6083,-0.0674,-0.7705,0.967
21:35:52:798,0.6025,-0.0657,-0.7715,0.964
21:35:52:800,0.5946,-0.0669,-0.7705,0.958
21:35:52:802,0.5839,-0.0696,-0.7683,0.950
21:35:52:804,0.5812,-0.0706,-0.7661,0.946
21:35:52:807,0.5858,-0.0699,-0.7673,0.950
21:35:52:808,0.5902,-0.0696,-0.7734,0.958
21:35:52:810,0.5929,-0.0696,-0.7829,0.967
21:35:52:812,0.5956,-0.0696,-0.7922,0.976
21:35:52:814,0.5971,-0.0699,-0.7986,0.982
21:35:52:816,0.5939,-0.0711,-0.8020,0.983
21:35:52:819,0.5895,-0.0728,-0.8037,0.981
21:35:52:821,0.5922,-0.0755,-0.7979,0.978
21:35:52:822,0.5944,-0.0777,-0.7935,0.976
21:35:52:824,0.5910,-0.0760,-0.7966,0.977
21:35:52:826,0.5876,-0.0735,-0.7998,0.977
21:35:52:829,0.5854,-0.0716,-0.8025,0.978
21:35:52:831,0.5854,-0.0679,-0.8079,0.982
21:35:52:835,0.5858,-0.0650,-0.8137,0.987
21:35:52:836,0.5846,-0.0635,-0.8186,0.990
21:35:52:837,0.5795,-0.0628,-0.8252,0.993
21:35:52:839,0.5756,-0.0635,-0.8291,0.993
21:35:52:840,0.5722,-0.0647,-0.8311,0.993
21:35:52:842,0.5705,-0.0665,-0.8325,0.993
21:35:52:844,0.5692,-0.0682,-0.8335,0.994
21:35:52:846,0.5687,-0.0691,-0.8355,0.995
21:35:52:848,0.5702,-0.0696,-0.8379,0.998
21:35:52:850,0.5744,-0.0716,-0.8401,1.002
21:35:52:852,0.5780,-0.0735,-0.8408,1.005
21:35:52:854,0.5797,-0.0748,-0.8413,1.006
21:35:52:857,0.5836,-0.0765,-0.8408,1.008
21:35:52:858,0.5858,-0.0784,-0.8394,1.008
21:35:52:860,0.5858,-0.0806,-0.8396,1.008
21:35:52:862,0.5861,-0.0838,-0.8396,1.009
21:35:52:864,0.5873,-0.0877,-0.8386,1.009
21:35:52:866,0.5893,-0.0921,-0.8367,1.008
21:35:52:868,0.5946,-0.0977,-0.8289,1.006
21:35:52:873,0.6005,-0.1053,-0.8137,0.997
21:35:52:874,0.5988,-0.1112,-0.8008,0.986
21:35:52:875,0.5942,-0.1168,-0.7895,0.975
21:35:52:879,0.5961,-0.1222,-0.7790,0.968
21:35:52:880,0.6012,-0.1236,-0.7715,0.966
21:35:52:880,0.6020,-0.1222,-0.7683,0.963
21:35:52:882,0.6000,-0.1212,-0.7632,0.958
21:35:52:885,0.5993,-0.1192,-0.7553,0.951
21:35:52:886,0.6003,-0.1158,-0.7470,0.945
21:35:52:889,0.5998,-0.1141,-0.7387,0.939
21:35:52:890,0.6012,-0.1112,-0.7351,0.937
21:35:52:892,0.6059,-0.1063,-0.7343,0.939
21:35:52:894,0.6115,-0.0992,-0.7307,0.939
21:35:52:897,0.6139,-0.0916,-0.7248,0.936
21:35:52:898,0.6108,-0.0867,-0.7163,0.927
21:35:52:901,0.6020,-0.0862,-0.7033,0.912
21:35:52:902,0.5942,-0.0867,-0.6906,0.897
21:35:52:905,0.5883,-0.0858,-0.6835,0.888
21:35:52:906,0.5854,-0.0855,-0.6803,0.883
21:35:52:908,0.5846,-0.0884,-0.6794,0.882
21:35:52:910,0.5822,-0.0941,-0.6796,0.881
21:35:52:913,0.5780,-0.1004,-0.6818,0.880
21:35:52:914,0.5761,-0.1070,-0.6840,0.881
21:35:52:917,0.5739,-0.1143,-0.6872,0.883
21:35:52:918,0.5729,-0.1222,-0.6913,0.886
21:35:52:922,0.5751,-0.1285,-0.6950,0.891
21:35:52:923,0.5758,-0.1336,-0.6987,0.894
21:35:52:925,0.5766,-0.1371,-0.7023,0.898
21:35:52:926,0.5761,-0.1407,-0.7057,0.901
21:35:52:929,0.5761,-0.1422,-0.7079,0.902
21:35:52:930,0.5778,-0.1444,-0.7116,0.906
21:35:52:932,0.5744,-0.1446,-0.7170,0.908
21:35:52:934,0.5680,-0.1441,-0.7243,0.910
21:35:52:936,0.5609,-0.1434,-0.7326,0.912
21:35:52:939,0.5529,-0.1422,-0.7407,0.913
21:35:52:941,0.5433,-0.1402,-0.7456,0.911
21:35:52:942,0.5348,-0.1371,-0.7497,0.909
21:35:52:945,0.5255,-0.1344,-0.7551,0.908
21:35:52:946,0.5152,-0.1334,-0.7595,0.906
21:35:52:949,0.5082,-0.1329,-0.7627,0.904
21:35:52:950,0.5033,-0.1329,-0.7671,0.905
21:35:52:953,0.4989,-0.1312,-0.7746,0.909
21:35:52:954,0.4957,-0.1285,-0.7834,0.914
21:35:52:960,0.4945,-0.1251,-0.7903,0.919
21:35:52:961,0.4935,-0.1202,-0.7954,0.922
21:35:52:963,0.4928,-0.1151,-0.7981,0.924
21:35:52:964,0.4925,-0.1104,-0.7998,0.925
21:35:52:966,0.4925,-0.1073,-0.8005,0.925
21:35:52:966,0.4884,-0.1060,-0.8020,0.924
21:35:52:968,0.4827,-0.1051,-0.8025,0.922
21:35:52:978,0.4747,-0.1031,-0.8005,0.916
21:35:52:980,0.4659,-0.1011,-0.7981,0.909
21:35:52:981,0.4591,-0.1002,-0.7964,0.904
21:35:52:982,0.4569,-0.0987,-0.7979,0.904
21:35:52:983,0.4588,-0.0960,-0.8010,0.908
21:35:52:984,0.4598,-0.0923,-0.8049,0.911
21:35:52:984,0.4576,-0.0882,-0.8088,0.913
21:35:52:985,0.4466,-0.0848,-0.8120,0.911
21:35:52:986,0.4378,-0.0833,-0.8145,0.908
21:35:52:990,0.4383,-0.0811,-0.8181,0.912
21:35:52:991,0.4417,-0.0774,-0.8259,0.920
21:35:52:992,0.4444,-0.0750,-0.8355,0.930
21:35:52:994,0.4476,-0.0733,-0.8438,0.939
21:35:52:997,0.4520,-0.0726,-0.8531,0.949
21:35:52:998,0.4559,-0.0733,-0.8621,0.959
21:35:53:000,0.4586,-0.0752,-0.8697,0.967
21:35:53:002,0.4586,-0.0774,-0.8780,0.974
21:35:53:006,0.4564,-0.0809,-0.8851,0.979
21:35:53:008,0.4542,-0.0823,-0.8885,0.981
21:35:53:009,0.4488,-0.0853,-0.8936,0.984
21:35:53:010,0.4434,-0.0884,-0.8980,0.985
21:35:53:012,0.4368,-0.0901,-0.8990,0.983
21:35:53:015,0.4285,-0.0911,-0.8973,0.978
21:35:53:016,0.4180,-0.0911,-0.8956,0.972
21:35:53:018,0.4068,-0.0899,-0.8941,0.966
21:35:53:020,0.3958,-0.0870,-0.8939,0.961
21:35:53:023,0.3858,-0.0831,-0.8934,0.956
21:35:53:025,0.3757,-0.0796,-0.8904,0.949
21:35:53:026,0.3657,-0.0767,-0.8863,0.942
21:35:53:028,0.3542,-0.0748,-0.8809,0.932
21:35:53:030,0.3430,-0.0743,-0.8765,0.924
21:35:53:033,0.3345,-0.0740,-0.8736,0.918
21:35:53:034,0.3271,-0.0730,-0.8729,0.915
21:35:53:037,0.3215,-0.0723,-0.8763,0.916
21:35:53:038,0.3178,-0.0730,-0.8821,0.920
21:35:53:041,0.3178,-0.0774,-0.8912,0.929
21:35:53:043,0.3213,-0.0804,-0.9012,0.939
21:35:53:045,0.3240,-0.0821,-0.9105,0.949
21:35:53:047,0.3232,-0.0836,-0.9188,0.957
21:35:53:049,0.3176,-0.0845,-0.9273,0.963
21:35:53:050,0.3115,-0.0875,-0.9359,0.969
21:35:53:052,0.3093,-0.0931,-0.9415,0.974
